RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,,8/31/2011,8/31/2012,8/31/2013,8/31/2014,8/31/2015,8/31/2016,8/31/2017,8/31/2018,8/31/2019,8/31/2020,Per8/31/2012,Per8/31/2013,Per8/31/2014,Per8/31/2015,Per8/31/2016,Per8/31/2017,Per8/31/2018,Per8/31/2019,Per8/31/2020
97984,2957,95116,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,274574,306220,390445,443585,493879,530308,588007,719278,644160,744183,0.12,0.28,0.14,0.11,0.07,0.11,0.22,-0.10,0.16
97988,3249,95120,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,705137,752506,867711,949049,1067602,1093479,1172973,1449703,1250211,1294847,0.07,0.15,0.09,0.12,0.02,0.07,0.24,-0.14,0.04
97990,3464,95122,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,284163,313696,393988,440124,495525,532077,577680,722044,642315,733111,0.10,0.26,0.12,0.13,0.07,0.09,0.25,-0.11,0.14
97966,3569,95070,Zip,CA,CA,Saratoga,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,1071217,1197770,1389128,1525168,1780568,1798618,1923226,2307358,2064637,2239251,0.12,0.16,0.10,0.17,0.01,0.07,0.20,-0.11,0.08
97696,3723,94306,Zip,CA,CA,Palo Alto,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,1191641,1203040,1449193,1699906,2070778,2106559,2280970,2694427,2427074,2717085,0.01,0.20,0.17,0.22,0.02,0.08,0.18,-0.10,0.12
98000,3733,95132,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,508275,552078,684686,735772,791186,857426,948332,1211034,1065812,1131499,0.09,0.24,0.07,0.08,0.08,0.11,0.28,-0.12,0.06
98011,3922,95148,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,423864,450277,556329,617140,703071,733178,794020,967344,870501,920663,0.06,0.24,0.11,0.14,0.04,0.08,0.22,-0.10,0.06
97986,4006,95118,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,545510,593252,727669,778290,833641,870007,944595,1193583,1029263,1140981,0.09,0.23,0.07,0.07,0.04,0.09,0.26,-0.14,0.11
97938,4186,95032,Zip,CA,CA,Los Gatos,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,888772,984613,1130705,1212697,1319393,1336397,1418419,1723900,1489738,1577122,0.11,0.15,0.07,0.09,0.01,0.06,0.22,-0.14,0.06
97985,4292,95117,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,600740,627645,767052,833095,910978,965217,1069839,1376864,1176359,1319796,0.04,0.22,0.09,0.09,0.06,0.11,0.29,-0.15,0.12
97999,5154,95131,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,503260,530736,660270,711179,754106,822292,899471,1160235,1006594,1056759,0.05,0.24,0.08,0.06,0.09,0.09,0.29,-0.13,0.05
97989,5154,95121,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,342524,366627,449892,509687,571012,603303,658548,797011,731272,839364,0.07,0.23,0.13,0.12,0.06,0.09,0.21,-0.08,0.15
97547,5501,94085,Zip,CA,CA,Sunnyvale,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,490155,521298,659813,735118,848143,925314,1040336,1360619,1165674,1281676,0.06,0.27,0.11,0.15,0.09,0.12,0.31,-0.14,0.10
97551,5667,94089,Zip,CA,CA,Sunnyvale,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,491606,539134,677438,742349,819329,908703,973002,1288836,1063714,1176456,0.10,0.26,0.10,0.10,0.11,0.07,0.32,-0.17,0.11
98001,5733,95133,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,400418,430446,534627,602133,629715,665703,727052,891918,788769,850276,0.08,0.24,0.13,0.05,0.06,0.09,0.23,-0.12,0.08
