Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY ,NASDAQ VALUE CHANGE,Population,Incr_Speed
"San Jose, CA",15-Aug,$861K,-0.01,0.10,537.00,-0.15,0.03,633.00,-0.09,0.09,867.00,0.07,0.05,21.00,5.00,6.00,1.04,-0.01,0.02,-0.07,0.01,Decr
"San Jose, CA",15-Sep,$860K,0.00,0.15,538.00,0.00,0.10,587.00,-0.07,0.03,912.00,0.05,0.01,23.00,2.00,7.00,1.03,-0.01,0.01,-0.02,0.01,Decr
"San Jose, CA",15-Oct,$850K,-0.01,0.08,469.00,-0.13,-0.10,513.00,-0.13,0.06,825.00,-0.10,0.07,25.00,2.00,5.00,1.03,-0.01,0.01,0.11,0.01,Decr
"San Jose, CA",15-Nov,$835K,-0.02,0.09,376.00,-0.20,-0.11,311.00,-0.39,0.02,614.00,-0.26,0.14,29.00,4.00,1.00,1.02,0.00,0.01,0.00,0.01,Decr
"San Jose, CA",15-Dec,$835K,0.00,0.09,521.00,0.39,0.27,205.00,-0.34,0.02,393.00,-0.36,0.04,38.00,9.00,18.00,1.02,0.00,0.01,-0.02,0.01,low
"San Jose, CA",16-Jan,$830K,-0.01,0.12,306.00,-0.41,0.03,349.00,0.70,-0.08,429.00,0.09,0.02,37.00,-1.00,7.00,1.02,0.00,0.01,-0.07,0.01,Decr
"San Jose, CA",16-Feb,$854K,0.03,0.09,272.00,-0.11,-0.06,501.00,0.44,-0.02,562.00,0.31,0.26,20.00,-17.00,7.00,1.03,0.01,0.00,-0.02,0.01,low
"San Jose, CA",16-Mar,$918K,0.08,0.14,431.00,0.59,-0.07,685.00,0.37,-0.04,677.00,0.21,0.26,14.00,-6.00,3.00,1.05,0.01,-0.01,0.07,0.01,high
"San Jose, CA",16-Apr,$958K,0.04,0.12,536.00,0.24,-0.13,698.00,0.02,-0.01,734.00,0.08,0.28,17.00,3.00,6.00,1.05,0.00,-0.02,-0.03,0.01,high
"San Jose, CA",16-May,$946K,-0.01,0.11,587.00,0.10,-0.01,734.00,0.05,-0.03,869.00,0.18,0.22,15.00,-2.00,5.00,1.04,0.00,-0.02,0.04,0.01,Decr
"San Jose, CA",16-Jun,$926K,-0.02,0.06,634.00,0.08,0.01,499.00,-0.32,-0.27,814.00,-0.06,0.09,20.00,5.00,9.00,1.04,-0.01,-0.03,-0.02,0.01,Decr
"San Jose, CA",16-Jul,$950K,0.03,0.09,461.00,-0.27,-0.27,595.00,0.19,-0.14,900.00,0.11,0.11,32.00,12.00,16.00,1.02,-0.01,-0.02,0.07,0.01,low
"San Jose, CA",16-Aug,$875K,-0.08,0.02,468.00,0.02,-0.13,544.00,-0.09,-0.14,847.00,-0.06,-0.02,33.00,1.00,12.00,1.02,0.00,-0.02,0.01,0.01,Decr
"San Jose, CA",16-Sep,$860K,-0.02,0.00,523.00,0.12,-0.03,543.00,0.00,-0.08,859.00,0.01,-0.06,32.00,-1.00,9.00,1.02,0.00,-0.01,0.02,0.01,Decr
"San Jose, CA",16-Oct,$915K,0.06,0.08,477.00,-0.09,0.02,455.00,-0.16,-0.11,758.00,-0.12,-0.08,33.00,1.00,8.00,1.02,0.00,-0.01,-0.02,0.01,high
"San Jose, CA",16-Nov,$890K,-0.03,0.07,467.00,-0.02,0.24,306.00,-0.33,-0.02,557.00,-0.27,-0.09,35.00,2.00,6.00,1.01,0.00,-0.01,0.00,0.01,Decr
"San Jose, CA",16-Dec,$865K,-0.03,0.04,429.00,-0.08,-0.18,156.00,-0.49,-0.24,333.00,-0.40,-0.15,36.00,1.00,-2.00,1.01,0.00,-0.01,0.01,0.01,Decr
"San Jose, CA",17-Jan,$866K,0.00,0.04,289.00,-0.33,-0.06,346.00,1.22,-0.01,377.00,0.13,-0.12,39.00,3.00,2.00,1.02,0.01,-0.01,0.05,0.01,low
"San Jose, CA",17-Feb,$950K,0.10,0.11,299.00,0.04,0.10,453.00,0.31,-0.10,457.00,0.21,-0.19,18.00,-21.00,-2.00,1.04,0.02,0.00,0.04,0.01,high
"San Jose, CA",17-Mar,$999K,0.05,0.09,444.00,0.49,0.03,592.00,0.31,-0.14,496.00,0.09,-0.27,14.00,-4.00,0.00,1.04,0.01,0.00,0.02,0.01,high
"San Jose, CA",17-Apr,$989K,-0.01,0.03,499.00,0.12,-0.07,568.00,-0.04,-0.19,535.00,0.08,-0.27,12.00,-2.00,-5.00,1.06,0.02,0.01,0.03,0.01,Decr
"San Jose, CA",17-May,"$1,000K",0.01,0.06,556.00,0.11,-0.05,680.00,0.20,-0.07,571.00,0.07,-0.34,12.00,0.00,-3.00,1.05,-0.01,0.01,0.04,0.01,low
"San Jose, CA",17-Jun,"$1,010K",0.01,0.09,651.00,0.17,0.03,612.00,-0.10,0.23,521.00,-0.09,-0.36,13.00,1.00,-7.00,1.06,0.01,0.02,-0.02,0.01,low
"San Jose, CA",17-Jul,"$1,005K",-0.01,0.06,589.00,-0.10,0.28,514.00,-0.16,-0.14,469.00,-0.10,-0.48,15.00,2.00,-17.00,1.05,-0.01,0.03,0.04,0.00,Decr
"San Jose, CA",17-Aug,$980K,-0.03,0.12,575.00,-0.02,0.23,509.00,-0.01,-0.06,406.00,-0.13,-0.52,13.00,-2.00,-20.00,1.06,0.01,0.04,0.02,0.00,Decr
"San Jose, CA",17-Sep,$995K,0.02,0.16,510.00,-0.11,-0.03,487.00,-0.04,-0.10,363.00,-0.11,-0.58,13.00,0.00,-19.00,1.06,0.00,0.04,0.00,0.00,low
"San Jose, CA",17-Oct,"$1,080K",0.09,0.18,489.00,-0.04,0.03,452.00,-0.07,-0.01,350.00,-0.04,-0.54,11.00,-2.00,-22.00,1.08,0.02,0.06,0.05,0.00,high
"San Jose, CA",17-Nov,"$1,109K",0.03,0.25,438.00,-0.10,-0.06,323.00,-0.29,0.06,247.00,-0.29,-0.56,11.00,0.00,-24.00,1.08,0.00,0.07,0.02,0.00,low
"San Jose, CA",17-Dec,"$1,161K",0.05,0.34,377.00,-0.14,-0.12,195.00,-0.40,0.25,172.00,-0.30,-0.48,12.00,1.00,-24.00,1.10,0.02,0.09,0.00,0.00,high
"San Jose, CA",18-Jan,"$1,065K",-0.08,0.23,255.00,-0.32,-0.12,383.00,0.96,0.11,234.00,0.36,-0.38,12.00,0.00,-27.00,1.09,-0.02,0.07,0.09,0.00,Decr
"San Jose, CA",18-Feb,"$1,205K",0.13,0.27,313.00,0.23,0.05,466.00,0.22,0.03,305.00,0.30,-0.33,10.00,-2.00,-8.00,1.13,0.04,0.09,-0.01,0.00,high
"San Jose, CA",18-Mar,"$1,256K",0.04,0.26,477.00,0.52,0.07,589.00,0.26,-0.01,280.00,-0.08,-0.44,9.00,-1.00,-5.00,1.13,0.00,0.09,-0.04,0.00,high
"San Jose, CA",18-Apr,"$1,276K",0.02,0.29,559.00,0.17,0.12,656.00,0.11,0.16,411.00,0.47,-0.23,9.00,0.00,-3.00,1.13,0.00,0.07,0.00,0.00,low
"San Jose, CA",18-May,"$1,300K",0.02,0.30,593.00,0.06,0.07,767.00,0.17,0.13,566.00,0.38,-0.01,10.00,1.00,-2.00,1.12,-0.02,0.07,0.05,0.00,low
"San Jose, CA",18-Jun,"$1,240K",-0.05,0.23,557.00,-0.06,-0.14,647.00,-0.16,0.06,655.00,0.16,0.26,12.00,2.00,-1.00,1.09,-0.03,0.03,0.01,0.00,Decr
"San Jose, CA",18-Jul,"$1,200K",-0.03,0.19,467.00,-0.16,-0.21,641.00,-0.01,0.25,779.00,0.19,0.66,15.00,3.00,0.00,1.06,-0.03,0.01,0.03,0.00,Decr
"San Jose, CA",18-Aug,"$1,195K",0.00,0.22,521.00,0.12,-0.09,570.00,-0.11,0.12,755.00,-0.03,0.86,21.00,6.00,8.00,1.04,-0.02,-0.02,0.06,0.00,Decr
"San Jose, CA",18-Sep,"$1,174K",-0.02,0.18,438.00,-0.16,-0.14,601.00,0.05,0.23,823.00,0.09,1.27,28.00,7.00,15.00,1.02,-0.02,-0.04,0.00,0.00,Decr
"San Jose, CA",18-Oct,"$1,147K",-0.02,0.06,456.00,0.04,-0.07,557.00,-0.07,0.23,866.00,0.05,1.47,25.00,-3.00,14.00,1.02,-0.01,-0.06,-0.09,0.00,Decr
"San Jose, CA",18-Nov,"$1,080K",-0.06,-0.03,385.00,-0.16,-0.12,349.00,-0.37,0.08,762.00,-0.12,2.09,29.00,4.00,18.00,1.00,-0.02,-0.08,0.00,0.00,Decr
"San Jose, CA",18-Dec,"$1,080K",0.00,-0.07,340.00,-0.12,-0.10,144.00,-0.59,-0.26,485.00,-0.36,1.82,41.00,12.00,29.00,1.01,0.01,-0.10,-0.09,0.00,low
"San Jose, CA",19-Jan,"$1,050K",-0.03,-0.01,273.00,-0.20,0.07,383.00,1.66,0.00,514.00,0.06,1.20,46.00,5.00,34.00,1.00,-0.01,-0.09,0.09,0.00,Decr
"San Jose, CA",19-Feb,"$1,050K",0.00,-0.13,287.00,0.05,-0.08,467.00,0.22,0.00,596.00,0.16,0.95,27.00,-19.00,17.00,1.01,0.01,-0.12,0.03,0.00,low
"San Jose, CA",19-Mar,"$1,136K",0.08,-0.10,432.00,0.51,-0.09,531.00,0.14,-0.10,605.00,0.02,1.16,20.00,-7.00,11.00,1.01,0.00,-0.12,0.04,0.00,high
"San Jose, CA",19-Apr,"$1,155K",0.02,-0.10,471.00,0.09,-0.16,653.00,0.23,-0.01,720.00,0.19,0.75,20.00,0.00,11.00,1.02,0.01,-0.11,0.05,0.00,low
"San Jose, CA",19-May,"$1,165K",0.01,-0.10,519.00,0.10,-0.13,718.00,0.10,-0.06,885.00,0.23,0.56,18.00,-2.00,8.00,1.02,0.00,-0.10,-0.08,0.00,low
"San Jose, CA",19-Jun,"$1,170K",0.00,-0.06,458.00,-0.12,-0.18,532.00,-0.26,-0.18,890.00,0.01,0.36,23.00,5.00,11.00,1.02,0.00,-0.07,0.08,0.00,low
