"month_date_yyyymm","postal_code","zip_name","nielsen_hh_rank","hotness_rank","hotness_rank_mm","hotness_rank_yy","hotness_score","supply_score","demand_score","median_days_on_market","median_days_on_market_mm","median_dom_mm_day","median_days_on_market_yy","median_dom_yy_day","median_dom_vs_us","ldpviews_per_property_mm","ldpviews_per_property_yy","ldpviews_per_property_vs_us","median_listing_price","median_listing_price_mm","median_listing_price_yy","median_listing_price_vs_us"
202004,94621,"oakland, ca",4713,2165,-226,994,77.999017,65.1425762,90.85545723,51.5,0.7167,21.5,0.0729,3.5,-10.5,0.3873,0.1694,1.9653,487550,-0.0151,0.1676,1.5234
202004,94533,"fairfield, ca",199,2280,-1105,-1470,77.293159,73.45132743,81.13499087,46,0.3529,12,1.7879,29.5,-16,-0.1964,-0.1279,1.5625,472525,0.0677,0.1143,1.4765
202004,94585,"suisun city, ca",4505,980,1458,76,86.974996,91.98623402,81.96375895,32,-0.2558,-11,0.3333,8,-30,-0.0766,-0.0913,1.5903,422525,0.0065,-0.0059,1.3202
202004,95035,"milpitas, ca",447,3093,360,2981,72.148476,94.57086669,49.72608512,28.5,0.2128,5,0.0556,1.5,-33.5,0,0.39,0.9653,1050050,-0.0869,0.0793,3.2813
202004,94087,"sunnyvale, ca",480,4267,NULL,796,65.707965,98.08961933,33.32630987,21,0.05,1,0.0244,0.5,-41,-0.1805,-0.018,0.7569,1998050,0.0283,0.0628,6.2438
202004,94024,"los altos, ca",5656,4439,266,-1363,64.70361,83.10155921,46.30566091,39.5,0.0822,3,0.2951,9,-22.5,-0.0292,-0.257,0.9236,3746550,-0.0606,-0.0622,11.7078
202004,94547,"hercules, ca",5311,1034,-387,-458,86.504425,75.51622419,97.49262537,44.5,0.2535,9,0.8936,21,-17.5,-0.1832,0.2516,2.6944,690050,0.0224,0.1519,2.1563
202004,94591,"vallejo, ca",691,445,65,1184,91.519174,91.52268577,91.51566231,32.5,0.1207,3.5,0.1818,5,-29.5,-0.1355,0.2533,1.9931,521994,-0.0087,0.0773,1.6311
202004,94559,"napa, ca",4204,5629,-2323,-359,58.487849,52.38095238,64.59474645,60.5,0.5921,22.5,0.1,5.5,-1.5,-0.0444,-0.2,1.1944,814300,-0.0216,-0.1084,2.5445
202004,94568,"dublin, ca",1043,2095,-1088,-903,78.504706,91.52268577,65.48672566,32.5,0.413,9.5,0.2745,7,-29.5,-0.278,-0.2402,1.2083,971422.5,0.0364,0.0236,3.0355
202004,94598,"walnut creek, ca",3784,50,90,345,97.35918,96.86753758,97.85082174,24,0.2973,5.5,-0.04,-1,-38,0.0025,0.1392,2.7847,1057550,-0.028,0.0964,3.3047
202004,94954,"petaluma, ca",2133,292,189,-108,93.145105,93.29259727,92.99761202,30.5,0.0702,2,1.1034,16,-31.5,-0.1036,-0.2406,2.1042,734550,-0.0167,0.1622,2.2953
