"regionid","sizerank","regionname","regiontype","statename","state","city","metro","countyname","1/31/1996","2/29/1996","3/31/1996","4/30/1996","5/31/1996","6/30/1996","7/31/1996","8/31/1996","9/30/1996","10/31/1996","11/30/1996","12/31/1996","1/31/1997","2/28/1997","3/31/1997","4/30/1997","5/31/1997","6/30/1997","7/31/1997","8/31/1997","9/30/1997","10/31/1997","11/30/1997","12/31/1997","1/31/1998","2/28/1998","3/31/1998","4/30/1998","5/31/1998","6/30/1998","7/31/1998","8/31/1998","9/30/1998","10/31/1998","11/30/1998","12/31/1998","1/31/1999","2/28/1999","3/31/1999","4/30/1999","5/31/1999","6/30/1999","7/31/1999","8/31/1999","9/30/1999","10/31/1999","11/30/1999","12/31/1999","1/31/2000","2/29/2000","3/31/2000","4/30/2000","5/31/2000","6/30/2000","7/31/2000","8/31/2000","9/30/2000","10/31/2000","11/30/2000","12/31/2000","1/31/2001","2/28/2001","3/31/2001","4/30/2001","5/31/2001","6/30/2001","7/31/2001","8/31/2001","9/30/2001","10/31/2001","11/30/2001","12/31/2001","1/31/2002","2/28/2002","3/31/2002","4/30/2002","5/31/2002","6/30/2002","7/31/2002","8/31/2002","9/30/2002","10/31/2002","11/30/2002","12/31/2002","1/31/2003","2/28/2003","3/31/2003","4/30/2003","5/31/2003","6/30/2003","7/31/2003","8/31/2003","9/30/2003","10/31/2003","11/30/2003","12/31/2003","1/31/2004","2/29/2004","3/31/2004","4/30/2004","5/31/2004","6/30/2004","7/31/2004","8/31/2004","9/30/2004","10/31/2004","11/30/2004","12/31/2004","1/31/2005","2/28/2005","3/31/2005","4/30/2005","5/31/2005","6/30/2005","7/31/2005","8/31/2005","9/30/2005","10/31/2005","11/30/2005","12/31/2005","1/31/2006","2/28/2006","3/31/2006","4/30/2006","5/31/2006","6/30/2006","7/31/2006","8/31/2006","9/30/2006","10/31/2006","11/30/2006","12/31/2006","1/31/2007","2/28/2007","3/31/2007","4/30/2007","5/31/2007","6/30/2007","7/31/2007","8/31/2007","9/30/2007","10/31/2007","11/30/2007","12/31/2007","1/31/2008","2/29/2008","3/31/2008","4/30/2008","5/31/2008","6/30/2008","7/31/2008","8/31/2008","9/30/2008","10/31/2008","11/30/2008","12/31/2008","1/31/2009","2/28/2009","3/31/2009","4/30/2009","5/31/2009","6/30/2009","7/31/2009","8/31/2009","9/30/2009","10/31/2009","11/30/2009","12/31/2009","1/31/2010","2/28/2010","3/31/2010","4/30/2010","5/31/2010","6/30/2010","7/31/2010","8/31/2010","9/30/2010","10/31/2010","11/30/2010","12/31/2010","1/31/2011","2/28/2011","3/31/2011","4/30/2011","5/31/2011","6/30/2011","7/31/2011","8/31/2011","9/30/2011","10/31/2011","11/30/2011","12/31/2011","1/31/2012","2/29/2012","3/31/2012","4/30/2012","5/31/2012","6/30/2012","7/31/2012","8/31/2012","9/30/2012","10/31/2012","11/30/2012","12/31/2012","1/31/2013","2/28/2013","3/31/2013","4/30/2013","5/31/2013","6/30/2013","7/31/2013","8/31/2013","9/30/2013","10/31/2013","11/30/2013","12/31/2013","1/31/2014","2/28/2014","3/31/2014","4/30/2014","5/31/2014","6/30/2014","7/31/2014","8/31/2014","9/30/2014","10/31/2014","11/30/2014","12/31/2014","1/31/2015","2/28/2015","3/31/2015","4/30/2015","5/31/2015","6/30/2015","7/31/2015","8/31/2015","9/30/2015","10/31/2015","11/30/2015","12/31/2015","1/31/2016","2/29/2016","3/31/2016","4/30/2016","5/31/2016","6/30/2016","7/31/2016","8/31/2016","9/30/2016","10/31/2016","11/30/2016","12/31/2016","1/31/2017","2/28/2017","3/31/2017","4/30/2017","5/31/2017","6/30/2017","7/31/2017","8/31/2017","9/30/2017","10/31/2017","11/30/2017","12/31/2017","1/31/2018","2/28/2018","3/31/2018","4/30/2018","5/31/2018","6/30/2018","7/31/2018","8/31/2018","9/30/2018","10/31/2018","11/30/2018","12/31/2018","1/31/2019","2/28/2019","3/31/2019","4/30/2019","5/31/2019","6/30/2019","7/31/2019","8/31/2019","9/30/2019","10/31/2019","11/30/2019","12/31/2019","1/31/2020","2/29/2020","3/31/2020","4/30/2020","5/31/2020","6/30/2020","7/31/2020","8/31/2020"
97753,1256,94546,"Zip","CA","CA","Castro Valley","San Francisco-Oakland-Hayward","Alameda County",199750,199059,198801,198239,198043,197570,197032,196588,196509,196861,197232,197798,198025,198708,199284,200295,201414,202913,204843,206538,207909,208831,210253,212099,214320,216497,218741,220817,222565,224423,226821,229591,233033,235305,237420,238352,240379,242378,244437,245656,246277,248325,248684,250412,250761,255246,258873,263542,267286,271203,274249,277554,282933,286796,292273,295641,301842,305781,310611,315639,319800,324255,330311,337075,342829,346627,350035,353275,355594,357084,358672,359239,360099,360741,361483,363671,366326,371423,375879,381590,386121,390968,394387,398097,401260,405544,408645,411112,411549,412587,414158,415743,417133,419558,424269,429115,435411,440145,447432,453439,461891,468922,477649,485621,495616,503839,513141,522432,531843,540689,547501,556513,565237,574507,580590,586992,592302,599239,602383,605683,605152,608111,609633,610069,608700,607209,606094,605572,603918,604119,602529,600875,598671,592627,588790,585710,583276,578309,574056,569465,565788,556010,549559,539895,536253,530043,522772,513386,505451,497385,490691,484583,478198,471174,461480,456738,451060,451296,451013,450087,445709,446518,445624,444786,442258,445576,451290,455537,457693,457748,457590,457742,461033,461411,459477,454535,450076,445645,441810,436408,432761,428413,426273,422460,415711,406635,403215,402063,404427,401765,398422,394979,391612,389739,387976,389217,393014,399713,404339,410505,414749,422251,429936,438926,448274,455754,463661,472840,485752,499583,510987,517772,522968,529551,538294,548360,555939,563637,567945,570135,568214,564884,564276,567491,571462,575197,578164,580726,582807,585451,592075,599492,605442,610428,615817,623231,634348,641551,645755,648885,656359,665283,668292,671644,675927,680880,683237,684106,681440,683804,686173,690169,691874,694573,701022,704333,706750,711798,718696,724708,732010,738963,749154,760125,769748,775607,779254,786872,797243,804280,807164,806789,806630,806288,805951,798749,788788,782861,780057,782306,785411,790278,791987,789994,788459,788646,789023,793702,801647,808402,813869,814659,814103,813715,818038,827657
97703,1282,94403,"Zip","CA","CA","San Mateo","San Francisco-Oakland-Hayward","San Mateo County",314561,313447,313214,312446,312400,312198,312335,313171,314411,316333,318139,320373,322924,326517,330177,333933,337857,342938,347984,352478,356772,361304,366905,372852,378507,383610,387965,392884,397186,400754,404621,408415,412643,415315,417396,418619,420687,423207,425918,428462,430206,432925,436386,441596,447174,453712,460263,467042,473467,480283,488111,495971,507452,519445,530713,539195,547651,557874,570393,584776,598547,609753,618204,624089,625464,623208,620618,619519,618140,615941,609962,602674,594793,591469,590364,593252,598471,607675,616638,623655,629083,631229,636224,640497,645648,648209,648932,650058,648335,646262,644096,646705,651604,659175,664129,670413,678502,688834,701334,710956,720680,729016,740870,751045,760569,769640,780015,793666,806736,815408,821612,828316,843680,856926,866025,871531,878446,885451,894289,896659,899244,899852,905551,908663,904113,901329,899739,901672,899307,894560,891625,892292,894115,896989,896752,896933,898526,898679,898409,897729,898685,901220,897152,889187,875649,867105,855233,853311,843997,837399,825982,814474,806714,797127,786349,773637,766638,762608,763073,749109,742892,735799,739029,737378,735056,735397,743405,754965,762239,761802,756666,757553,756089,755239,747769,750725,747623,744139,732997,726556,720833,716080,713748,716600,717280,715186,711773,703775,699919,697728,701232,703851,701908,702055,703787,705460,713259,727845,743476,760034,773789,785168,793828,796314,813444,834352,859367,875544,890244,897130,909341,914724,926685,940552,957822,977877,989230,994987,994053,1001596,1004157,1011100,1012660,1021615,1030612,1039576,1049156,1061961,1070027,1085548,1106848,1125124,1148519,1166357,1194427,1222191,1243855,1258390,1269330,1274684,1291270,1300720,1306242,1309894,1308424,1312808,1303581,1297059,1296893,1306283,1312984,1329500,1337298,1349952,1351618,1358372,1368068,1385752,1407536,1423652,1437393,1457736,1492187,1523699,1549165,1558715,1576372,1595296,1617768,1632532,1641100,1653683,1657054,1650821,1625901,1595424,1566470,1554821,1539636,1540412,1550042,1554711,1551450,1530321,1527199,1524333,1531167,1540775,1553641,1560560,1569147,1564077,1550591,1542504,1543461,1557481
97558,1401,94103,"Zip","CA","CA","San Francisco","San Francisco-Oakland-Hayward","San Francisco County",227753,227047,226416,225317,224312,223607,223463,224898,227561,230339,232483,234217,236616,239637,242681,245437,248581,252204,255786,257392,257612,258108,259754,262491,265173,267980,271753,276361,281116,285416,288978,293050,297238,302256,308343,314601,320013,324293,328295,332503,337211,342136,348645,354941,361953,367715,373412,379954,387286,395341,403453,412007,420876,430037,439136,449124,459625,470802,482435,493888,505262,514371,518219,519105,516559,513035,506433,498735,491265,484318,477711,469575,462407,455802,452998,451490,454220,459221,465995,473015,477875,481694,483280,485690,486682,489673,493053,496831,496185,493970,493050,494021,495095,496302,499824,504906,512636,519713,526512,531672,539201,547818,556432,563880,573378,584377,595148,604852,613099,624702,634820,646759,656397,665658,674355,681649,690161,697891,702837,707044,709008,705911,701994,697872,699455,700892,700135,697741,693888,690071,688494,688291,688308,692433,697590,705764,708038,710486,713656,718896,722762,722994,723919,719221,715539,706088,701701,696031,695930,690192,682131,673970,668450,664520,657121,649165,643731,637747,632119,621853,610771,603325,599078,592469,583485,578360,577844,585014,587735,592734,590058,591098,590090,590939,588008,588761,590153,590825,588829,581703,576953,571756,570798,569635,568482,564757,564083,563535,563745,562533,561563,562884,563158,567663,572366,577188,580891,587535,598041,609444,622255,634061,643865,651875,664512,668777,677300,684972,701589,717608,727542,738716,744044,749242,752661,762217,770133,786057,796018,807378,812707,813832,818296,816166,818950,823672,840371,850890,857128,864447,876019,889723,894785,906161,921416,939085,954398,964073,963518,966295,974249,977648,974617,962367,959427,951024,937470,922990,916057,916899,923113,925283,923309,917242,912514,914766,921708,929594,932508,936941,939552,942853,946194,948546,950833,954284,965393,978261,984116,994409,1014519,1035014,1047679,1047065,1042736,1035852,1039497,1043702,1046491,1042813,1048887,1053203,1054681,1048554,1046386,1051455,1059797,1070264,1072248,1072962,1069746,1068604,1061713,1053257,1042583,1036110
97795,1404,94590,"Zip","CA","CA","Vallejo","Vallejo-Fairfield","Solano County",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,158179,159667,160427,163070,165482,168554,170127,172012,172589,174239,174714,175979,175798,175743,175330,174930,173511,170550,168269,166039,164890,162179,159629,156262,153802,151448,150840,149112,148215,147169,147809,147356,147551,147317,148819,150079,153258,155597,157287,158545,161290,165592,169560,174035,178403,183876,189486,194769,198130,201196,204743,209133,213152,216555,219996,222067,223794,226418,229313,232494,234138,236824,237865,240369,241317,243716,246058,250146,254016,255861,256176,255867,257654,260120,265696,269702,274891,277448,279161,280197,281569,284950,289063,294077,298950,302575,304691,306872,309050,311266,315734,320036,325255,328384,331543,333411,336311,340459,345044,349320,354066,361988,366841,370153,371715,374665,378202,381744,384127,385852,386801,388827,389798,387436,386576,386086,387400,387336,387344,389412,390814,392213,392635,393055,393756,395191,396228,397602,398038,399035,399405,398220,397659
97568,1408,94114,"Zip","CA","CA","San Francisco","San Francisco-Oakland-Hayward","San Francisco County",348444,347436,347321,346849,346722,345958,345966,346928,349148,350738,352468,355526,359421,363727,366345,369096,372430,377748,383026,388012,391688,396633,401832,406508,411115,416143,422485,428943,434931,439849,443959,447631,452765,458601,465586,469887,473271,477940,485667,493527,501674,511966,523494,535277,544427,554708,563686,577646,593084,607676,619770,633637,650506,667039,682307,695678,710928,725321,743969,759816,772428,781027,786584,788717,784771,777588,770630,766019,761611,756198,745814,734300,724662,717887,716871,716680,722510,729330,738185,748079,755191,760019,761412,764531,767723,773568,777237,779945,774128,769418,765957,765690,766456,768116,776870,786179,800046,809981,819017,829073,846464,865661,881179,889567,899743,914362,927140,941011,950306,969109,982879,994796,998624,1002836,1011400,1024663,1040824,1054802,1063556,1067704,1068704,1060357,1056838,1056351,1065212,1068843,1067798,1061777,1053336,1044870,1042417,1046698,1051030,1061184,1067961,1079199,1081605,1087876,1093893,1104499,1116175,1124708,1131268,1123681,1116289,1102060,1100636,1099529,1106008,1104435,1098247,1093083,1090891,1085832,1076995,1066666,1064205,1056549,1045308,1020683,1001074,987904,984133,970019,944367,927064,917500,927003,929502,937958,935715,942875,943105,944977,937096,939996,948007,954127,951497,939208,929250,920522,917985,914021,907448,897026,893098,889903,889827,892413,899806,907038,908811,916810,930457,945054,958378,974878,997840,1024193,1050657,1068924,1080011,1089628,1113650,1121438,1126192,1129502,1154212,1181175,1198750,1201737,1201386,1201952,1214411,1237231,1256878,1289340,1316648,1345040,1359306,1365941,1375805,1393543,1413081,1436497,1465995,1485005,1495646,1508168,1530267,1556284,1565098,1584208,1609698,1637824,1665877,1687598,1690854,1698387,1714510,1724637,1718417,1697865,1698929,1691664,1686088,1672836,1675581,1683311,1705119,1716632,1719216,1714128,1717989,1732923,1753890,1772633,1787238,1807339,1818995,1825892,1827620,1831868,1840704,1855506,1886155,1915184,1928098,1947521,1951697,1959313,1947043,1945530,1942506,1939414,1939920,1936439,1926907,1912662,1918779,1927768,1939256,1938537,1947044,1963828,1976738,1989469,1997805,2007117,2011297,2017466,2012982,2003265,1998522,1999820
97562,1463,94107,"Zip","CA","CA","San Francisco","San Francisco-Oakland-Hayward","San Francisco County",271890,270979,270499,269923,269537,269550,269109,270220,271689,273598,273841,275039,276880,280666,283129,285513,288347,292342,296054,297834,299598,302522,308808,314062,319129,322039,327260,332122,337016,339982,346342,353673,360325,364728,367911,371487,374033,377254,381757,386650,391423,396142,399837,402563,408051,413549,421242,429180,439881,450235,458794,467972,477948,490041,502811,518030,532263,550011,567881,584725,595968,604246,610923,617667,620379,620347,615259,609682,602358,591821,579395,567692,560689,555382,552711,548722,550092,553760,560349,566608,571192,575569,577449,578627,579297,583184,587463,591788,589608,586400,584997,584920,585409,585730,590665,598844,609523,617978,624682,630845,640766,651356,661329,669706,681413,695667,709288,719902,727639,739498,750028,762511,771784,782263,791090,798900,807076,815236,820344,824828,827537,823607,820049,814879,816871,817255,817529,816696,814004,809179,805607,804977,806543,814130,820833,830763,832766,836323,839121,844702,848509,849142,851119,846143,839630,826432,820800,814667,814293,805313,795141,784136,777625,772544,766322,758774,752286,743033,733792,721375,710886,704954,702216,694580,682679,676682,672772,679142,682451,691413,690523,691216,688146,688900,684837,687568,690893,691798,689227,679771,673947,666057,664827,664415,664056,659840,658960,658097,659709,659521,660968,664257,665768,672526,678839,685967,691334,699133,710603,723177,736191,749941,760702,771335,787046,792627,802046,808710,826133,843607,855382,868277,875352,880806,885939,897090,907181,926131,938691,952795,959691,962997,970163,965957,966582,969481,986510,995659,998863,1005409,1018005,1036211,1044686,1059772,1078545,1104192,1127007,1144382,1148148,1156741,1171462,1179113,1178099,1163425,1160125,1149797,1135453,1120108,1115159,1116903,1125283,1127092,1124507,1115771,1110045,1111734,1119038,1129080,1141449,1153816,1161763,1163239,1165390,1167897,1169924,1175271,1188310,1204032,1210242,1219137,1219710,1223424,1219453,1220882,1216464,1210584,1214059,1217899,1218812,1212747,1217238,1219853,1225254,1223129,1225424,1229706,1235942,1243594,1244378,1244034,1241338,1241055,1235393,1229001,1223285,1221113
97746,1463,94539,"Zip","CA","CA","Fremont","San Francisco-Oakland-Hayward","Alameda County",299556,299109,298994,298825,299263,299682,300395,301534,303252,305658,307993,310685,312805,315423,318362,322165,326319,330275,334581,338465,342433,345595,349364,353311,357546,361774,365908,370027,373043,376973,381263,385533,389293,391425,394010,395457,398996,402313,405209,406016,406055,407620,406854,408170,408524,414876,419973,426623,432838,439886,446445,453863,465141,474450,486345,495025,507323,516501,525774,536026,543439,551039,560384,570137,577333,579856,581730,583752,584496,583598,582990,579589,576097,572176,568910,568914,570058,577017,583303,590535,595789,600524,603967,607027,610528,615486,618896,620552,618596,616135,613960,612591,611637,613254,618309,625167,633613,639302,647549,654393,665137,674818,686516,697245,709942,720446,731911,743297,754895,766682,776334,789001,800905,811697,817381,823114,829368,838604,843188,847086,845777,849831,851820,851523,848620,847555,849885,852843,852710,853822,853414,854556,855866,850534,847509,845573,845322,842172,840413,841168,843991,838794,836330,828673,828367,825432,823124,820040,819428,818283,816675,814669,810147,804011,791422,785830,778940,783633,786778,787728,781271,781410,779758,776008,771362,776077,788955,799345,808184,810130,811485,811851,818271,819776,817803,813159,809709,806130,801886,795386,790401,785046,782462,777498,769566,760939,765808,769643,777335,774353,771551,768521,763940,762657,761074,766609,776054,789332,794099,804408,811857,826623,839041,854362,872972,888383,907994,927270,950756,970329,986151,994773,1002249,1011514,1027879,1045972,1060049,1071144,1074018,1073690,1067319,1064262,1065738,1075293,1084736,1095838,1104484,1111066,1116402,1124182,1139479,1157017,1172253,1185664,1191608,1199347,1210987,1224522,1230745,1238621,1251107,1267456,1271083,1275376,1281672,1289013,1299595,1306454,1309795,1314514,1322393,1330465,1333902,1338882,1352077,1361200,1367312,1378543,1400060,1421009,1448446,1466284,1490598,1514943,1541769,1561092,1578828,1602222,1633955,1655373,1661437,1661895,1659497,1666471,1665742,1651356,1629511,1617668,1611331,1612786,1618215,1628693,1631680,1626430,1622725,1622851,1624362,1634858,1649788,1659967,1665449,1662787,1653471,1643962,1644848,1654777
97501,1483,94010,"Zip","CA","CA","Burlingame","San Francisco-Oakland-Hayward","San Mateo County",510776,509516,508960,507540,507189,507663,508589,509715,510970,513327,516109,519083,522563,527022,532059,537808,543489,549387,555635,563262,571248,578408,585238,593126,601025,608832,615174,621837,627843,633514,638439,641534,644870,648497,653410,657296,661266,665173,670762,675598,680044,683023,688600,696380,706171,715975,725359,735426,745901,757357,768840,782770,801583,826403,849065,868297,884388,903236,924245,945642,964335,979754,993511,1002011,1003588,996557,988124,981119,975277,970171,961358,951785,941326,936601,934102,936856,942864,954888,968886,981519,991648,994628,1001613,1008442,1017862,1023207,1024977,1027816,1026222,1023666,1019163,1021091,1026447,1037640,1043775,1051733,1062011,1077006,1096001,1109660,1121461,1131084,1146773,1161353,1176917,1191249,1208362,1228742,1248732,1260557,1267836,1276631,1301801,1323920,1339527,1348310,1358685,1367227,1376847,1377171,1378948,1378065,1387477,1391860,1385142,1380071,1378675,1381913,1378219,1372454,1371857,1377976,1384449,1391960,1391460,1393679,1398178,1400984,1398940,1396283,1399950,1413146,1416719,1410946,1390942,1380804,1366564,1366374,1349949,1342269,1331266,1323110,1317006,1297479,1274232,1246613,1235481,1227375,1226165,1204904,1198770,1188638,1192715,1184694,1164913,1150275,1149462,1169659,1184258,1188372,1185478,1188442,1189200,1190782,1184790,1190852,1201987,1215080,1221564,1219684,1216593,1212263,1213674,1227370,1243391,1254041,1259514,1268064,1286622,1308007,1323186,1336882,1344136,1361466,1381655,1398485,1413863,1441822,1474669,1515881,1541915,1560902,1576175,1584233,1619835,1659340,1703634,1729662,1759369,1772581,1796088,1792242,1806464,1825456,1858819,1897436,1916215,1924851,1921919,1939011,1947332,1965515,1976574,1988879,1994336,1989625,1998936,2014011,2021321,2038099,2066130,2087330,2115227,2139156,2158962,2185441,2198131,2230769,2252328,2264350,2293602,2309541,2319999,2324596,2320213,2334799,2342142,2359968,2381742,2404450,2416447,2445227,2456123,2481582,2482561,2495269,2512115,2507004,2515640,2521356,2562349,2607513,2668290,2722707,2763477,2778052,2805387,2838067,2880687,2923624,2947632,2967924,2956232,2928560,2881081,2827099,2786677,2768120,2747822,2748397,2769542,2787964,2795213,2769542,2767826,2774229,2794125,2817371,2840213,2855916,2872380,2867269,2840852,2820006,2813757,2834419
97772,1509,94566,"Zip","CA","CA","Pleasanton","San Francisco-Oakland-Hayward","Alameda County",292946,292325,292187,291955,292176,292164,291931,291899,292317,293523,294869,296498,297576,299236,300968,303323,305825,308465,311850,314951,317935,319979,322396,325223,328611,331996,335436,338669,341722,345439,350145,355073,360358,364195,368096,370542,374533,378117,381421,383356,384071,386492,386248,388197,388510,394246,398914,405263,410893,417248,422375,427858,436576,442952,451338,456499,465806,472429,479480,487038,492258,497867,506493,516240,524035,527888,531084,533767,534360,533343,533206,530973,529600,527679,525044,524283,524061,528964,533180,539285,544466,549932,553310,556508,559357,563757,566911,569564,569756,569926,570712,571743,573173,576185,582744,589787,598573,604719,614736,622884,634535,645055,657774,669757,683274,694692,706693,719257,731882,744715,754618,766845,778696,789909,797420,804242,810368,818554,822180,825870,824177,827623,828415,828454,825091,822190,819403,817930,814560,813754,810983,809030,807248,799166,794409,789755,786891,781633,777860,775696,774906,767347,763613,755989,755072,750761,744758,737303,731932,727028,723865,720471,716660,711376,701951,697347,691080,695549,699198,702558,699780,702522,701404,698005,692260,694067,701026,707076,712236,711993,712287,711433,716130,717095,716053,713919,712579,712283,710899,707003,703653,700229,698277,693498,685241,676205,679565,682837,690113,685635,680745,675219,670600,667872,666346,671285,680659,692793,696738,704376,710259,724641,738101,752889,769347,783252,800457,816797,835571,851611,862312,867307,869729,875417,885622,899509,908059,916178,916090,914703,908693,903764,905092,910540,917010,922627,928591,932519,935556,938561,947773,958547,967647,977132,987269,1000585,1016397,1025168,1028119,1031969,1043052,1056944,1060787,1064359,1068621,1073905,1074069,1072724,1067548,1071522,1074656,1078637,1077286,1077495,1084984,1087650,1090731,1095281,1104152,1110488,1122930,1134015,1150885,1168152,1186107,1199011,1208820,1225846,1246451,1262454,1271843,1277900,1278896,1278666,1275341,1262855,1245439,1235389,1230578,1231705,1233228,1235965,1232585,1222000,1214655,1210742,1208563,1212230,1220072,1224825,1226805,1222545,1216842,1212715,1216147,1227739
97807,1547,94605,"Zip","CA","CA","Oakland","San Francisco-Oakland-Hayward","Alameda County",144371,143988,143841,143613,143525,143330,143032,143034,143254,143716,143887,144252,144423,144973,145359,145574,146032,146283,147024,147119,147338,147269,148035,148901,149878,150558,151506,153041,154191,155970,157931,160410,162455,163716,164813,165377,166691,168101,169417,170141,170564,171857,171752,172325,172813,176212,178801,181875,184657,188109,191157,194265,198789,201956,206327,209516,214427,218085,222274,227004,230744,234292,238903,243863,248370,252094,255942,259870,262583,264530,266667,268166,269754,271411,272977,275612,278279,282428,285952,289658,293015,296482,299250,302070,304856,308178,310671,312942,313780,314981,316482,318776,321023,323914,328125,332126,336816,340254,345388,349871,356350,362105,368711,374393,381298,387355,394096,400816,407902,414928,421175,428194,435094,442209,447360,452789,457485,463630,467046,470993,471801,475739,478029,480116,480083,480427,480907,481823,480986,481153,480346,480043,479612,475714,473812,471884,471358,468616,467082,464135,460096,450643,443574,434736,430488,423539,415719,406251,397944,387179,374979,365162,359833,355972,349084,343145,336814,335257,333264,330848,324823,325400,328232,329905,328443,327885,330601,333465,335445,336012,336458,337862,342212,342707,340082,336341,333195,331766,329585,326718,323025,318479,314981,309928,303672,297142,295861,294504,295501,292487,289785,286414,284173,283461,283507,285779,289193,293468,294565,297446,299326,304618,310480,318190,326678,333667,340676,347425,356638,366840,376785,384240,389636,394957,400650,406622,411181,415737,418030,420320,419990,420095,420151,422334,425943,430412,435797,440328,444076,448002,455262,463019,469877,475013,481135,489471,499770,506775,509977,513628,520166,528423,531504,535606,539822,544458,546663,548115,547620,551931,556442,561585,564060,567178,573708,577518,582195,588850,597595,603346,609756,614879,623334,632735,642128,648279,653456,660341,669119,673350,675362,676312,677920,678596,677669,671404,664452,661623,662169,665373,669812,674904,677940,675517,673808,673943,675784,680911,687273,692195,694962,695830,695072,696029,699800,709585
97540,1596,94066,"Zip","CA","CA","San Bruno","San Francisco-Oakland-Hayward","San Mateo County",246504,245348,244439,242846,241445,240401,239372,238906,238836,239118,239384,239807,240441,241745,243277,245031,247230,249583,252181,254478,256768,259263,262235,265529,269175,272629,275983,278981,281901,284567,287796,291216,294506,297428,300489,303673,306491,309082,311806,314888,317761,321197,324982,329229,334048,339136,344204,348826,353852,359155,364746,370070,377350,385761,393887,400110,406171,413282,421386,429759,437597,444983,451560,457029,459673,459686,458930,460033,461106,462452,461865,461750,460994,461996,463918,467453,472519,479440,487046,493306,498504,500807,504744,507383,510614,512243,512541,514691,515331,516364,516234,518782,522738,528980,533073,538359,545052,553488,563836,571261,578172,584035,593047,601419,609495,616695,625263,636516,648052,656363,662323,668953,682211,694175,703065,709213,716719,723813,732563,735790,738844,739812,745510,748831,746950,745465,745481,747980,746994,744257,742494,743215,744104,746259,745548,745627,746323,746224,744521,741215,738702,737488,730316,720017,704935,694325,680916,674551,661752,651349,638223,625864,614936,602678,590186,578303,572225,567743,566498,554450,548908,543578,545286,544596,541700,541499,546836,556477,562075,562778,560510,564211,565880,566819,562499,564186,567376,569886,567793,563225,559472,555811,553985,554702,553315,549671,545329,538352,532380,527934,526987,528167,527603,528733,530216,529677,532968,541455,550929,561927,571325,579232,586503,588672,597690,608948,623394,636409,650069,658154,670066,677608,690218,702746,713248,725624,733216,738047,737547,741258,742888,749349,752819,758258,761383,763805,769450,777838,782843,791880,806647,818536,832254,839772,852941,866538,877511,886865,894875,899011,911188,919153,924097,927781,926532,933656,931117,931930,932653,937904,940419,950683,955810,964828,965078,969886,976312,979913,986678,989898,1001403,1018975,1046703,1069774,1087057,1093873,1108632,1120665,1139023,1154871,1171504,1190348,1199290,1199390,1182129,1163309,1146216,1141267,1130032,1132939,1142142,1152614,1153375,1140862,1138245,1137092,1145348,1154712,1166158,1172519,1181448,1179131,1168440,1157991,1154408,1160379
