month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
201906,94702,"berkeley, ca",NULL,1065050,0.1846,0.121,16,0.0667,0.2308,15,0.2,0,16,0,0,0,NULL,NULL,0,NULL,NULL,16,0.1429,0.2308,751.3274336,0.1037,0.0477,1372,0.0433,0.0854,1095084,0.1213,0.0463,32,0.1034,0.2308,1,0.0667,0
201906,94024,"los altos, ca",NULL,3459050,-0.1012,-0.0897,39,0.3929,1.1667,17,-0.1282,-0.4333,28,-0.125,1.3333,4,NULL,NULL,4,0,0,27,0.08,0.2273,1315.842788,0.0345,-0.0456,2593,-0.1328,-0.1784,4729024,-0.1028,-0.0964,66,0.2453,0.65,0.6923,-0.2005,-0.5299
201906,94127,"san francisco, ca",NULL,2200050,0.1142,0.1609,13,-0.0714,-0.2353,22,0.76,-0.0435,20,0.6667,-0.1667,0,NULL,NULL,4,NULL,0,12,-0.0769,-0.1429,861.4976806,-0.0239,-0.0175,2355,0.2243,0.0734,2198760,0.0704,-0.0495,25,-0.0741,-0.1935,0.9231,-0.0055,0.0995
201906,94588,"pleasanton, ca",NULL,1072638,-0.024,-0.1223,60,0.1321,0.3636,29,0.1154,0.2609,44,0.375,0.1,0,NULL,NULL,24,1,0.5,34,-0.15,-0.2917,569.9426112,0.0024,0.0169,1780,-0.0289,-0.1001,1333401,-0.0408,-0.1779,94,0.0108,0.0217,0.5667,-0.1881,-0.5242
201906,94112,"san francisco, ca",*,999050,-0.1312,NULL,30,-0.0323,-0.1176,29,0.0357,0.0357,32,0.3333,0,0,NULL,NULL,4,NULL,0,27,-0.069,-0.129,799,0.0244,0.1332,1393,0.0517,-0.0211,1149748,-0.0107,0.0056,57,-0.05,-0.1231,0.9,-0.0355,-0.0118
201906,94114,"san francisco, ca",NULL,1995050,0.1093,0.1742,29,-0.0938,-0.0645,25,0.3514,0.0417,32,0,0.3333,0,NULL,NULL,4,0,0,27,0,-0.1818,1052.724077,0.0086,0.1266,1800,-0.0625,0.495,2469387,0.047,0.0645,56,-0.0508,-0.125,0.931,0.0873,-0.1335
201906,94947,"novato, ca",NULL,799550,-0.03,-0.2956,52,0.1304,0.5294,34,0.1333,0.1724,44,0.2222,1.2,0,NULL,NULL,20,0,0.6667,25,-0.0385,0.3158,426.0312945,-0.0464,-0.0632,1460,-0.1558,-0.3525,905664,-0.05,-0.241,77,0.0694,0.4528,0.4808,-0.0844,-0.0781
201906,94580,"san lorenzo, ca",*,649050,-0.0007,NULL,15,-0.0625,-0.4444,18,-0.3571,-0.4,20,-0.4444,-0.2857,0,NULL,NULL,8,NULL,1,35,0.0606,0,492.2472868,-0.0216,0.0341,1361,0,-0.0716,644268,-0.0068,-0.0682,50,0.0204,-0.1935,2.3333,0.2708,1.037
201906,95035,"milpitas, ca",NULL,998050,0.0006,-0.1129,124,0.3333,0.7465,28,-0.0345,0.5556,84,0.1667,0.05,0,-1,-1,40,1.5,0.6667,72,-0.0649,0.1803,647.2527473,-0.0208,-0.0279,1530,0.0394,-0.0688,1167350,0.0085,-0.1388,196,0.1529,0.4848,0.5806,-0.2473,-0.2785
201906,94553,"martinez, ca",NULL,589050,-0.0182,-0.0688,72,0.0909,-0.0649,29,0,0.3182,68,0.0625,-0.2609,0,-1,NULL,24,0,0,65,-0.058,-0.0972,387.7816291,0.0011,-0.0222,1528,-0.0465,-0.0396,661743,-0.036,-0.0544,137,0.0148,-0.0805,0.9028,-0.1427,-0.0323
