regionname,city,incr_per,date,incr_type,year,month_date_yyyymm,postal_code,zip_name,active_listing_count_yy,median_days_on_market_yy,new_listing_count_yy,pending_ratio_yy,year-2
94606,Oakland,0.045898268,202008,Small_Incr,2020,202007,94606,"oakland, ca",-0.3462,0.0233,1,0.4186,2020
94040,Mountain View,0.103878415,202008,Huge_Incr,2020,202007,94040,"mountain view, ca",0.7,-0.1333,1.6667,-0.4441,2020
94608,Oakland,0.062625949,202008,Moderate_Incr,2020,202007,94608,"emeryville, ca",0.3878,0.2833,0.4444,-0.3604,2020
94404,Foster City,0.020332579,202008,Stable_Incr,2020,202007,94404,"san mateo, ca",0.1026,-0.3587,0.25,-0.1556,2020
94116,San Francisco,-0.014676526,202008,Small_Decr,2020,202007,94116,"san francisco, ca",-0.2593,-0.1833,0,-0.0037,2020
94804,Richmond,0.038541188,202008,Small_Incr,2020,202007,94804,"richmond, ca",-0.4516,-0.2813,-0.2,0.8169,2020
94560,Newark,0.018270348,202008,Stable_Incr,2020,202007,94560,"newark, ca",-0.5,-0.2131,0.1667,0.4474,2020
94578,San Leandro,0.05360534,202008,Moderate_Incr,2020,202007,94578,"san leandro, ca",-0.2941,0.5625,-0.4286,0.0539,2020
94044,Pacifica,0.030702088,202008,Small_Incr,2020,202007,94044,"pacifica, ca",-0.3429,0.1622,0.1,0.5516,2020
94123,San Francisco,-0.022482308,202008,Small_Decr,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94523,Pleasant Hill,0.04885932,202008,Small_Incr,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94303,Palo Alto,0.034000501,202008,Small_Incr,2020,202007,94303,"palo alto, ca",0.2564,0.1111,0.2,-0.023,2020
94583,San Ramon,0.021485586,202008,Stable_Incr,2020,202007,94583,"san ramon, ca",-0.4815,-0.4583,0.3636,0.8404,2020
94954,Petaluma,0.011153681,202008,Stable_Incr,2020,202007,94954,"petaluma, ca",-0.475,0.1791,-0.5714,0.8762,2020
94531,Antioch,0.017485728,202008,Stable_Incr,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94561,Oakley,0.022451158,202008,Stable_Incr,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
95134,San Jose,0.095266978,202008,High_Incr,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94061,Redwood City,0.003139431,202008,Stable_Incr,2020,202007,94061,"redwood city, ca",1,-0.0141,1.25,-0.7826,2020
