regionname,city,Incr_Per,date,Incr_type,Year,month_date_yyyymm,postal_code,zip_name,active_listing_count_yy,median_days_on_market_yy,new_listing_count_yy,pending_ratio_yy
94588,Pleasanton,0.008444117,202008,Incr,2020,202007,94588,"pleasanton, ca",-0.3906,0.0862,-0.3077,0.103
94070,San Carlos,0.020082641,202008,Incr,2020,202007,94070,"san carlos, ca",0.5556,-0.2131,1,0.1693
94903,San Rafael,0.073376597,202008,Incr,2020,202007,94903,"san rafael, ca",-0.2308,-0.1798,1,0.3481
94602,Oakland,0.045470099,202008,Incr,2020,202007,94602,"oakland, ca",-0.2,0.5333,0,-0.0214
94063,Redwood City,-0.001831036,202008,Decr,2020,202007,94063,"redwood city, ca",1.2,0.1404,0,-0.3545
94306,Palo Alto,0.108743756,202008,Huge_Incr,2020,202007,94306,"palo alto, ca",0.5,0.2254,-0.4,-0.0833
94607,Oakland,0.049843827,202008,Incr,2020,202007,94607,"oakland, ca",0.6216,0.0323,0.25,-0.4356
94555,Fremont,-0.009190745,202008,Decr,2020,202007,94555,"fremont, ca",-0.25,0.1311,0,0.3077
94134,San Francisco,0.033991983,202008,Incr,2020,202007,94134,"san francisco, ca",-0.0909,0.2364,-0.2857,0.05
94549,Lafayette,0.048258043,202008,Incr,2020,202007,94549,"lafayette, ca",-0.1228,0.2836,0.2222,0.1832
94002,Belmont,0.027898963,202008,Incr,2020,202007,94002,"belmont, ca",0.25,-0.0556,0,-0.1833
94596,Walnut Creek,-0.014082272,202008,Decr,2020,202007,94596,"walnut creek, ca",0.4545,0.0308,-0.2222,-0.2599
94559,Napa,0.037417542,202008,Incr,2020,202007,94559,"napa, ca",-0.3188,0.1856,-0.4,0.4064
94124,San Francisco,0.043493541,202008,Incr,2020,202007,94124,"san francisco, ca",0.0476,-0.1653,0.5,-0.1991
94132,San Francisco,0.005406034,202008,Incr,2020,202007,94132,"san francisco, ca",1.4,0.7857,0.6667,-0.625
94598,Walnut Creek,0.061922067,202008,Incr,2020,202007,94598,"walnut creek, ca",-0.3043,-0.3448,-0.2,0.4022
94609,Oakland,0.081383431,202008,Incr,2020,202007,94609,"oakland, ca",0.4,0.069,1,0.1429
94402,San Mateo,0.024946288,202008,Incr,2020,202007,94402,"san mateo, ca",-0.3214,0.3056,0.3333,0.6241
94545,Hayward,0.033391004,202008,Incr,2020,202007,94545,"hayward, ca",-0.6579,-0.1148,0,2.2126
94062,Redwood City,0.027185246,202008,Incr,2020,202007,94062,"redwood city, ca",-0.0492,-0.2232,0.4,0.1402
94518,Concord,0.047979802,202008,Incr,2020,202007,94518,"concord, ca",-0.4762,-0.2639,0,1.1926
94603,Oakland,0.057493127,202008,Incr,2020,202007,94603,"oakland, ca",0.4444,1.0678,0,0.1481
94619,Oakland,0.04818383,202008,Incr,2020,202007,94619,"oakland, ca",0.2273,0.0851,0,0.4899
94801,Richmond,0.047946929,202008,Incr,2020,202007,94801,"richmond, ca",-0.2712,-0.3707,0,0.3752
94612,Oakland,0.028393217,202008,Incr,2020,202007,94612,"oakland, ca",1.6,-0.3115,0,-0.1077
94589,Vallejo,0.021732138,202008,Incr,2020,202007,94589,"vallejo, ca",-0.5128,0.5263,-0.5,1.0364
94621,Oakland,0.052620805,202008,Incr,2020,202007,94621,"oakland, ca",-0.0938,-0.0411,0.2,0.1218
94580,San Lorenzo,0.067647095,202008,Incr,2020,202007,94580,"san lorenzo, ca",-0.0833,0.8333,-0.25,0.5568
94947,Novato,0.037471424,202008,Incr,2020,202007,94947,"novato, ca",-0.075,-0.0882,-0.1667,0.1608
94803,El Sobrante,0.020260671,202008,Incr,2020,202007,94803,"el sobrante, ca",-0.1176,0.1449,1,0.049
94030,Millbrae,-0.01051313,202008,Decr,2020,202007,94030,"millbrae, ca",-0.0435,-0.3485,0.6667,0.0711
94085,Sunnyvale,0.096912786,202008,Incr,2020,202007,94085,"sunnyvale, ca",-0.24,-0.4632,4,0.3347
94706,Albany,0.065296605,202008,Incr,2020,202007,94706,"albany, ca",0.1818,-0.1918,-0.3333,-1.049
94024,Los Altos,0.101407449,202008,Huge_Incr,2020,202007,94024,"los altos, ca",-0.1613,-0.0135,1.5,0.3164
94105,San Francisco,-0.011762064,202008,Decr,2020,202007,94105,"san francisco, ca",0.4831,-0.2039,0.5556,-0.0625
94702,Berkeley,0.057544833,202008,Incr,2020,202007,94702,"berkeley, ca",0.25,0.3226,0,-0.325
94301,Palo Alto,0.0640817,202008,Incr,2020,202007,94301,"palo alto, ca",0.3871,-0.1774,1.5,-0.0203
94127,San Francisco,0.021259689,202008,Incr,2020,202007,94127,"san francisco, ca",1,0.3514,4,-0.0833
95620,Dixon,0.002906261,202008,Incr,2020,202007,95620,"dixon, ca",-0.4762,0.027,-0.1667,0.7078
94022,Los Altos,0.098052854,202008,Incr,2020,202007,94022,"los altos, ca",0.1622,-0.4206,1.6667,0.0792
94564,Pinole,0.018601288,202008,Incr,2020,202007,94564,"pinole, ca",-0.4231,0.1452,-0.6,0.2282
94945,Novato,0.020457991,202008,Incr,2020,202007,94945,"novato, ca",-0.0968,0.1948,-0.3333,0.3698
94019,Half Moon Bay,-0.015955799,202008,Decr,2020,202007,94019,"half moon bay, ca",-0.3714,0.5976,0,0.5766
94960,San Anselmo,0.087432117,202008,Incr,2020,202007,94960,"san anselmo, ca",-0.5172,-0.4615,0.5,0.798
94965,Sausalito,0.080745429,202008,Incr,2020,202007,94965,"sausalito, ca",0.0526,-0.2159,0.25,0.2408
94556,Moraga,0.06189483,202008,Incr,2020,202007,94556,"moraga, ca",-0.1579,0.0685,0.4,0.4589
94542,Hayward,0.063748586,202008,Incr,2020,202007,94542,"hayward, ca",-0.3913,-0.4306,-0.2,0.559
94065,Redwood City,0.014144683,202008,Incr,2020,202007,94065,"redwood city, ca",0.1667,-0.0465,-0.25,-0.7143
94708,Berkeley,0.05206136,202008,Incr,2020,202007,94708,"berkeley, ca",0.3636,0.6,0.5,0.2788
94028,Portola Valley,-0.010385411,202008,Decr,2020,202007,94028,"portola valley, ca",0.3846,-0.4178,1,0.2051
94027,Atherton,0.032468451,202008,Incr,2020,202007,94027,"atherton, ca",0.2963,-0.4276,1,0.0603
94109,San Francisco,-0.019464332,201908,Decr,2019,201907,94109,"san francisco, ca",0.1311,-0.1584,0.6,-0.086
94501,Alameda,0.027124818,201908,Incr,2019,201907,94501,"alameda, ca",0.2727,-0.1538,0.7143,-0.29
94110,San Francisco,-0.0288916,201908,Decr,2019,201907,94110,"san francisco, ca",-0.0682,-0.0484,-0.2222,-0.1419
94558,Napa,0.008095129,201908,Incr,2019,201907,94558,"napa, ca",0.1989,0.5385,-0.28,0.0095
94533,Fairfield,0.018452154,201908,Incr,2019,201907,94533,"fairfield, ca",0.1681,-0.1143,0.2222,0.045
94536,Fremont,-0.054247835,201908,Decr,2019,201907,94536,"fremont, ca",0.6351,1.0323,-0.3077,-0.4545
95035,Milpitas,-0.110002945,201908,Huge_Decr,2019,201907,95035,"milpitas, ca",0.3974,0.4783,-0.1053,-0.279
94544,Hayward,-0.025568839,201908,Decr,2019,201907,94544,"hayward, ca",0.8636,0.28,0.2143,-0.7034
94568,Dublin,-0.038253989,201908,Decr,2019,201907,94568,"dublin, ca",0.2885,0.381,-0.1852,-0.4885
94509,Antioch,0.009950749,201908,Incr,2019,201907,94509,"antioch, ca",0.4286,0.6585,-0.1905,-0.7143
94122,San Francisco,-0.018572949,201908,Decr,2019,201907,94122,"san francisco, ca",-0.2083,0.7778,-0.6667,-0.1491
