regionname,city,8/31/1996,8/31/1997,8/31/1998,8/31/1999,8/31/2000,8/31/2001,8/31/2002,8/31/2003,8/31/2004,8/31/2005,8/31/2006,8/31/2007,8/31/2008,8/31/2009,8/31/2010,8/31/2011,8/31/2012,8/31/2013,8/31/2014,8/31/2015,8/31/2016,8/31/2017,8/31/2018,8/31/2019,8/31/2020,199708,199808,199908,200008,200108,200208,200308,200408,200508,200608,200708,200808,200908,201008,201108,201208,201308,201408,201508,201608,201708,201808,201908,202008
94587,Union City,193314,208676,232201,255930,312039,383372,392335,413923,476227,581709,607496,579716,485311,421004,439756,394802,399502,530689,596203,672460,724737,788522,938166,888971,910363,0.0795,0.1127,0.1022,0.2192,0.2286,0.0234,0.0550,0.1505,0.2215,0.0443,-0.0457,-0.1628,-0.1325,0.0445,-0.1022,0.0119,0.3284,0.1235,0.1279,0.0777,0.0880,0.1898,-0.0524,0.0241
94080,South San Francisco,243480,258404,289271,324963,391966,451546,486619,511268,599105,701435,733994,733203,599225,514532,529996,506960,531294,633778,706830,804383,855173,911522,1087913,1053395,1108647,0.0613,0.1195,0.1234,0.2062,0.1520,0.0777,0.0507,0.1718,0.1708,0.0464,-0.0011,-0.1827,-0.1413,0.0301,-0.0435,0.0480,0.1929,0.1153,0.1380,0.0631,0.0659,0.1935,-0.0317,0.0525
94112,San Francisco,236995,256386,293854,331784,403851,475559,503870,548366,637225,753493,787645,792145,678764,588490,592900,545181,571008,703622,774098,887162,903609,995204,1137890,1136994,1184228,0.0818,0.1461,0.1291,0.2172,0.1776,0.0595,0.0883,0.1620,0.1825,0.0453,0.0057,-0.1431,-0.1330,0.0075,-0.0805,0.0474,0.2322,0.1002,0.1461,0.0185,0.1014,0.1434,-0.0008,0.0415
94087,Sunnyvale,370894,416287,469609,509581,635994,717113,695481,696022,789054,923084,940352,980184,928533,953893,994248,965795,1024116,1250626,1406795,1584964,1625802,1788298,2222248,1898790,1989431,0.1224,0.1281,0.0851,0.2481,0.1275,-0.0302,0.0008,0.1337,0.1699,0.0187,0.0424,-0.0527,0.0273,0.0423,-0.0286,0.0604,0.2212,0.1249,0.1266,0.0258,0.0999,0.2427,-0.1456,0.0477
94086,Sunnyvale,253838,286421,322777,353455,447285,510821,500256,498843,564486,671645,687538,696860,642234,668229,684532,657716,726111,888184,981105,1113245,1186376,1337557,1686601,1439995,1594051,0.1284,0.1269,0.0950,0.2655,0.1420,-0.0207,-0.0028,0.1316,0.1898,0.0237,0.0136,-0.0784,0.0405,0.0244,-0.0392,0.1040,0.2232,0.1046,0.1347,0.0657,0.1274,0.2610,-0.1462,0.1070
94806,San Pablo,183153,183471,176012,186035,205471,233961,269327,303435,379869,446056,479163,412241,351768,307620,327895,298750,320912,313367,340145,380986,414653,454619,493428,496683,517904,0.0017,-0.0407,0.0569,0.1045,0.1387,0.1512,0.1266,0.2519,0.1742,0.0742,-0.1397,-0.1467,-0.1255,0.0659,-0.0889,0.0742,-0.0235,0.0855,0.1201,0.0884,0.0964,0.0854,0.0066,0.0427
94591,Vallejo,138621,144119,152181,164272,195552,241841,267757,308311,363248,446393,474270,437603,324025,240051,241322,217026,215306,279358,337895,366527,408487,436410,480096,486588,498964,0.0397,0.0559,0.0795,0.1904,0.2367,0.1072,0.1515,0.1782,0.2289,0.0624,-0.0773,-0.2595,-0.2592,0.0053,-0.1007,-0.0079,0.2975,0.2095,0.0847,0.1145,0.0684,0.1001,0.0135,0.0254
94553,Martinez,107347,115021,128880,142765,167729,193410,221568,250484,303768,363736,390714,348396,293656,271455,292495,278404,290765,345986,390608,470006,532758,562828,610141,595548,624666,0.0715,0.1205,0.1077,0.1749,0.1531,0.1456,0.1305,0.2127,0.1974,0.0742,-0.1083,-0.1571,-0.0756,0.0775,-0.0482,0.0444,0.1899,0.1290,0.2033,0.1335,0.0564,0.0841,-0.0239,0.0489
94015,Daly City,216486,230223,256952,293525,354932,410639,443837,470290,549110,649133,674596,671082,558425,477132,512642,491697,527895,646619,716209,810837,876182,938219,1097514,1056173,1132285,0.0635,0.1161,0.1423,0.2092,0.1570,0.0808,0.0596,0.1676,0.1822,0.0392,-0.0052,-0.1679,-0.1456,0.0744,-0.0409,0.0736,0.2249,0.1076,0.1321,0.0806,0.0708,0.1698,-0.0377,0.0721
94115,San Francisco,342256,363636,428961,500633,643267,721178,713647,737104,820546,967102,994445,1029983,977735,904323,879244,833860,924817,1071282,1182569,1371311,1367205,1442045,1633012,1656760,1667402,0.0625,0.1796,0.1671,0.2849,0.1211,-0.0104,0.0329,0.1132,0.1786,0.0283,0.0357,-0.0507,-0.0751,-0.0277,-0.0516,0.1091,0.1584,0.1039,0.1596,-0.0030,0.0547,0.1324,0.0145,0.0064
