regionname,city,8/31/1996,8/31/1997,8/31/1998,8/31/1999,8/31/2000,8/31/2001,8/31/2002,8/31/2003,8/31/2004,8/31/2005,8/31/2006,8/31/2007,8/31/2008,8/31/2009,8/31/2010,8/31/2011,8/31/2012,8/31/2013,8/31/2014,8/31/2015,8/31/2016,8/31/2017,8/31/2018,8/31/2019,8/31/2020,199708,199808,199908,200008,200108,200208,200308,200408,200508,200608,200708,200808,200908,201008,201108,201208,201308,201408,201508,201608,201708,201808,201908,202008
94954,Petaluma,212310,213763,234091,258374,309095,373371,392445,431760,510520,595130,613131,570496,478382,409849,412316,369583,363456,456404,516967,558477,603950,644408,693668,676279,683822,0.0068,0.0951,0.1037,0.1963,0.2079,0.0511,0.1002,0.1824,0.1657,0.0302,-0.0695,-0.1615,-0.1433,0.0060,-0.1036,-0.0166,0.2557,0.1327,0.0803,0.0814,0.0670,0.0764,-0.0251,0.0112
94531,Antioch,184824,190615,214569,222161,255218,292371,327497,369517,458597,575453,601480,544569,407917,319363,320144,322777,329864,395505,442583,448985,471220,508463,569545,586993,597257,0.0313,0.1257,0.0354,0.1488,0.1456,0.1201,0.1283,0.2411,0.2548,0.0452,-0.0946,-0.2509,-0.2171,0.0024,0.0082,0.0220,0.1990,0.1190,0.0145,0.0495,0.0790,0.1201,0.0306,0.0175
94561,Oakley,128152,130384,138420,150091,172335,198240,225120,254462,319795,406197,414441,377280,291969,216000,241013,288166,290734,341722,393870,453471,499763,538381,572805,577164,590122,0.0174,0.0616,0.0843,0.1482,0.1503,0.1356,0.1303,0.2567,0.2702,0.0203,-0.0897,-0.2261,-0.2602,0.1158,0.1956,0.0089,0.1754,0.1526,0.1513,0.1021,0.0773,0.0639,0.0076,0.0225
95134,San Jose,214701,239555,272304,300796,367811,424549,401157,403274,453879,542938,554870,553225,480985,478636,497166,468821,497803,602552,650999,695267,753018,818098,1049448,900186,985944,0.1158,0.1367,0.1046,0.2228,0.1543,-0.0551,0.0053,0.1255,0.1962,0.0220,-0.0030,-0.1306,-0.0049,0.0387,-0.0570,0.0618,0.2104,0.0804,0.0680,0.0831,0.0864,0.2828,-0.1422,0.0953
94061,Redwood City,367465,412085,475562,517625,644033,724557,739386,757615,858040,990491,1022158,1038259,958505,858517,876261,799966,877879,942736,1075502,1280430,1368029,1480739,1707582,1624498,1629598,0.1214,0.1540,0.0884,0.2442,0.1250,0.0205,0.0247,0.1326,0.1544,0.0320,0.0158,-0.0768,-0.1043,0.0207,-0.0871,0.0974,0.0739,0.1408,0.1905,0.0684,0.0824,0.1532,-0.0487,0.0031
94401,San Mateo,224026,238567,272060,311560,379795,444796,457043,480026,548713,652808,682590,678440,577238,501739,516391,492305,520620,637596,738998,853338,892132,1015390,1206069,1125448,1131764,0.0649,0.1404,0.1452,0.2190,0.1711,0.0275,0.0503,0.1431,0.1897,0.0456,-0.0061,-0.1492,-0.1308,0.0292,-0.0466,0.0575,0.2247,0.1590,0.1547,0.0455,0.1382,0.1878,-0.0668,0.0056
94043,Mountain View,239043,269450,301295,336969,407808,472910,459507,465044,528034,626298,639703,652318,591528,617925,634692,612683,687833,835030,922803,1079031,1156686,1271175,1585639,1369361,1493461,0.1272,0.1182,0.1184,0.2102,0.1596,-0.0283,0.0120,0.1354,0.1861,0.0214,0.0197,-0.0932,0.0446,0.0271,-0.0347,0.1227,0.2140,0.1051,0.1693,0.0720,0.0990,0.2474,-0.1364,0.0906
94131,San Francisco,328905,359112,426323,486080,604637,692522,688194,727440,833668,963501,975638,1001073,951766,868080,871105,812710,888914,1074531,1217542,1388604,1430194,1491614,1710709,1671325,1717537,0.0918,0.1872,0.1402,0.2439,0.1454,-0.0062,0.0570,0.1460,0.1557,0.0126,0.0261,-0.0493,-0.0879,0.0035,-0.0670,0.0938,0.2088,0.1331,0.1405,0.0300,0.0429,0.1469,-0.0230,0.0276
94014,Daly City,245240,257871,288705,323311,394380,461841,501727,527615,620679,730762,764766,768430,611139,509223,534577,501893,516576,634536,694569,799779,862227,911976,1075492,1010465,1001863,0.0515,0.1196,0.1199,0.2198,0.1711,0.0864,0.0516,0.1764,0.1774,0.0465,0.0048,-0.2047,-0.1668,0.0498,-0.0611,0.0293,0.2283,0.0946,0.1515,0.0781,0.0577,0.1793,-0.0605,-0.0085
94133,San Francisco,429128,470975,512376,580520,704532,796049,780826,807268,886821,1025974,1042462,1088920,1029107,913569,911951,856829,926860,1097052,1152238,1297819,1292397,1367056,1474437,1467366,1484060,0.0975,0.0879,0.1330,0.2136,0.1299,-0.0191,0.0339,0.0985,0.1569,0.0161,0.0446,-0.0549,-0.1123,-0.0018,-0.0604,0.0817,0.1836,0.0503,0.1263,-0.0042,0.0578,0.0785,-0.0048,0.0114
94941,Mill Valley,424355,461766,513073,578328,721548,834706,852762,875239,989314,1124569,1147886,1201487,1191851,985159,979548,902151,942225,1057996,1220321,1402721,1430961,1509491,1564707,1560341,1661998,0.0882,0.1111,0.1272,0.2476,0.1568,0.0216,0.0264,0.1303,0.1367,0.0207,0.0467,-0.0080,-0.1734,-0.0057,-0.0790,0.0444,0.1229,0.1534,0.1495,0.0201,0.0549,0.0366,-0.0028,0.0652
94526,Danville,263920,303330,345745,395572,452338,518270,575421,644949,749082,894862,910432,837146,753048,670868,708251,682510,715264,902455,972404,1035513,1118954,1156499,1231189,1193787,1248061,0.1493,0.1398,0.1441,0.1435,0.1458,0.1103,0.1208,0.1615,0.1946,0.0174,-0.0805,-0.1005,-0.1091,0.0557,-0.0363,0.0480,0.2617,0.0775,0.0649,0.0806,0.0336,0.0646,-0.0304,0.0455
94588,Pleasanton,242729,259125,290850,319016,377032,441071,453401,481379,566010,684777,694933,650953,600200,567985,590898,555601,567259,710076,759511,834214,891456,923244,1056896,1011355,1019895,0.0675,0.1224,0.0968,0.1819,0.1699,0.0280,0.0617,0.1758,0.2098,0.0148,-0.0633,-0.0780,-0.0537,0.0403,-0.0597,0.0210,0.2518,0.0696,0.0984,0.0686,0.0357,0.1448,-0.0431,0.0084
94070,San Carlos,354608,393130,462333,505279,623682,700263,696319,710517,823706,950119,986030,1005433,954569,838467,855204,830117,948688,1118012,1305887,1511037,1575539,1694283,1963260,1848960,1886092,0.1086,0.1760,0.0929,0.2343,0.1228,-0.0056,0.0204,0.1593,0.1535,0.0378,0.0197,-0.0506,-0.1216,0.0200,-0.0293,0.1428,0.1785,0.1680,0.1571,0.0427,0.0754,0.1588,-0.0582,0.0201
94903,San Rafael,308762,326896,357030,396239,478796,550758,585424,621575,707170,805200,835694,821745,760381,614618,629980,553386,594799,690506,741170,810597,848190,901113,972753,975420,1046993,0.0587,0.0922,0.1098,0.2084,0.1503,0.0629,0.0618,0.1377,0.1386,0.0379,-0.0167,-0.0747,-0.1917,0.0250,-0.1216,0.0748,0.1609,0.0734,0.0937,0.0464,0.0624,0.0795,0.0027,0.0734
94602,Oakland,196649,213989,243186,264115,315142,373836,406759,435854,511007,598180,601964,576513,528166,527475,531042,465718,473703,599463,642926,736221,800210,863961,966984,976092,1020475,0.0882,0.1364,0.0861,0.1932,0.1862,0.0881,0.0715,0.1724,0.1706,0.0063,-0.0423,-0.0839,-0.0013,0.0068,-0.1230,0.0171,0.2655,0.0725,0.1451,0.0869,0.0797,0.1192,0.0094,0.0455
94063,Redwood City,246332,267261,300587,346807,425807,508546,532279,548746,636785,734632,780941,787245,661769,549430,566365,515336,580666,714465,765968,909616,965672,1056377,1318843,1194952,1192764,0.0850,0.1247,0.1538,0.2278,0.1943,0.0467,0.0309,0.1604,0.1537,0.0630,0.0081,-0.1594,-0.1698,0.0308,-0.0901,0.1268,0.2304,0.0721,0.1875,0.0616,0.0939,0.2485,-0.0939,-0.0018
94306,Palo Alto,491650,553633,623395,690634,895024,1004227,958055,936175,1058027,1296106,1273741,1367804,1318925,1321901,1367672,1283565,1291004,1538177,1791502,2149143,2165784,2366517,2837119,2550620,2827984,0.1261,0.1260,0.1079,0.2959,0.1220,-0.0460,-0.0228,0.1302,0.2250,-0.0173,0.0738,-0.0357,0.0023,0.0346,-0.0615,0.0058,0.1915,0.1647,0.1996,0.0077,0.0927,0.1989,-0.1010,0.1087
94510,Benicia,164457,171355,184106,203113,238428,287928,319658,360768,420567,509557,525079,480153,387801,333389,349899,320912,332273,446732,497850,523582,568535,599415,642855,649304,658516,0.0419,0.0744,0.1032,0.1739,0.2076,0.1102,0.1286,0.1658,0.2116,0.0305,-0.0856,-0.1923,-0.1403,0.0495,-0.0828,0.0354,0.3445,0.1144,0.0517,0.0859,0.0543,0.0725,0.0100,0.0142
94607,Oakland,135393,147515,149035,158534,188488,236243,267945,300559,339719,418333,435898,413219,355186,308661,318966,294739,315820,390443,436701,509148,601943,651572,712626,691861,726346,0.0895,0.0103,0.0637,0.1889,0.2534,0.1342,0.1217,0.1303,0.2314,0.0420,-0.0520,-0.1404,-0.1310,0.0334,-0.0760,0.0715,0.2363,0.1185,0.1659,0.1823,0.0824,0.0937,-0.0291,0.0498
94555,Fremont,209790,228746,259836,279374,344994,413741,415519,438553,505699,620270,634471,608997,546623,516081,539012,486451,490447,638436,711718,818715,897539,941393,1145815,1098714,1088616,0.0904,0.1359,0.0752,0.2349,0.1993,0.0043,0.0554,0.1531,0.2266,0.0229,-0.0401,-0.1024,-0.0559,0.0444,-0.0975,0.0082,0.3017,0.1148,0.1503,0.0963,0.0489,0.2171,-0.0411,-0.0092
94134,San Francisco,240501,261432,294416,333732,413324,482789,515550,563238,636052,756946,787559,793452,674995,582271,579541,524249,547127,678537,712914,812798,814453,911683,1014480,1020623,1055316,0.0870,0.1262,0.1335,0.2385,0.1681,0.0679,0.0925,0.1293,0.1901,0.0404,0.0075,-0.1493,-0.1374,-0.0047,-0.0954,0.0436,0.2402,0.0507,0.1401,0.0020,0.1194,0.1128,0.0061,0.0340
94530,El Cerrito,158218,172549,193238,202214,245381,285469,326804,367570,452493,512455,496244,461467,397056,379965,437472,369618,387355,500851,545305,598660,671333,740070,832548,896660,970018,0.0906,0.1199,0.0465,0.2135,0.1634,0.1448,0.1247,0.2310,0.1325,-0.0316,-0.0701,-0.1396,-0.0430,0.1513,-0.1551,0.0480,0.2930,0.0888,0.0978,0.1214,0.1024,0.1250,0.0770,0.0818
94549,Lafayette,291021,318105,352117,387776,465281,526108,589149,657175,755432,916532,899443,827069,755238,681792,750719,684618,738435,874192,940221,1015134,1134769,1206396,1333861,1351153,1416357,0.0931,0.1069,0.1013,0.1999,0.1307,0.1198,0.1155,0.1495,0.2133,-0.0186,-0.0805,-0.0869,-0.0972,0.1011,-0.0881,0.0786,0.1838,0.0755,0.0797,0.1179,0.0631,0.1057,0.0130,0.0483
94002,Belmont,369528,419135,483325,527268,643260,726231,718361,731940,843174,962020,987567,1005822,939623,840255,856959,814128,893359,1075606,1245360,1463930,1531196,1640709,1876655,1749850,1798669,0.1342,0.1531,0.0909,0.2200,0.1290,-0.0108,0.0189,0.1520,0.1410,0.0266,0.0185,-0.0658,-0.1058,0.0199,-0.0500,0.0973,0.2040,0.1578,0.1755,0.0459,0.0715,0.1438,-0.0676,0.0279
94559,Napa,154418,160145,169339,184195,220626,268963,303529,357796,415716,495854,510893,476977,427216,385067,359190,335843,356221,440211,502854,544305,580359,607056,638384,649722,674033,0.0371,0.0574,0.0877,0.1978,0.2191,0.1285,0.1788,0.1619,0.1928,0.0303,-0.0664,-0.1043,-0.0987,-0.0672,-0.0650,0.0607,0.2358,0.1423,0.0824,0.0662,0.0460,0.0516,0.0178,0.0374
94124,San Francisco,193097,204738,229070,263716,325913,408723,424191,468970,535067,638222,674282,683736,562318,480764,481890,428363,443589,558245,642292,746596,784056,857339,940240,958924,1000631,0.0603,0.1188,0.1512,0.2358,0.2541,0.0378,0.1056,0.1409,0.1928,0.0565,0.0140,-0.1776,-0.1450,0.0023,-0.1111,0.0355,0.2585,0.1506,0.1624,0.0502,0.0935,0.0967,0.0199,0.0435
94132,San Francisco,290809,313642,353782,403616,483804,570558,589016,630780,725239,846262,871758,881769,784376,690793,699999,631549,671030,808303,894238,1022838,1072217,1176181,1346397,1316122,1323237,0.0785,0.1280,0.1409,0.1987,0.1793,0.0324,0.0709,0.1497,0.1669,0.0301,0.0115,-0.1105,-0.1193,0.0133,-0.0978,0.0625,0.2046,0.1063,0.1438,0.0483,0.0970,0.1447,-0.0225,0.0054
94598,Walnut Creek,131929,145049,170994,185314,214066,247857,274627,311251,365198,433807,449919,419194,378222,304955,307038,264747,247403,333472,366198,403430,434943,460440,502255,501356,532401,0.0994,0.1789,0.0837,0.1552,0.1579,0.1080,0.1334,0.1733,0.1879,0.0371,-0.0683,-0.0977,-0.1937,0.0068,-0.1377,-0.0655,0.3479,0.0981,0.1017,0.0781,0.0586,0.0908,-0.0018,0.0619
94609,Oakland,151325,162361,170877,195911,226877,283066,309042,332985,391431,478328,484944,471307,422137,418128,437014,401670,427767,615520,667153,815907,907933,988931,1101741,1096636,1185884,0.0729,0.0525,0.1465,0.1581,0.2477,0.0918,0.0775,0.1755,0.2220,0.0138,-0.0281,-0.1043,-0.0095,0.0452,-0.0809,0.0650,0.4389,0.0839,0.2230,0.1128,0.0892,0.1141,-0.0046,0.0814
94402,San Mateo,349746,386546,448693,490200,605939,672508,683555,703634,798203,921272,963669,995890,928583,832437,830880,850661,978964,1181183,1347914,1560240,1614588,1753187,2034757,1904612,1952125,0.1052,0.1608,0.0925,0.2361,0.1099,0.0164,0.0294,0.1344,0.1542,0.0460,0.0334,-0.0676,-0.1035,-0.0019,0.0238,0.1508,0.2066,0.1412,0.1575,0.0348,0.0858,0.1606,-0.0640,0.0249
94545,Hayward,158164,165663,181682,201206,249792,300948,323613,349162,406568,495550,528628,506062,385069,319925,336370,299549,307704,414732,470401,509688,574094,625794,723072,695906,719143,0.0474,0.0967,0.1075,0.2415,0.2048,0.0753,0.0789,0.1644,0.2189,0.0668,-0.0427,-0.2391,-0.1692,0.0514,-0.1095,0.0272,0.3478,0.1342,0.0835,0.1264,0.0901,0.1554,-0.0376,0.0334
94062,Redwood City,425582,476395,548049,599622,756289,871846,866774,865672,984444,1130415,1165921,1200054,1132176,988604,1018426,1039965,1198369,1401223,1564183,1791050,1859157,1951838,2279939,2125344,2183122,0.1194,0.1504,0.0941,0.2613,0.1528,-0.0058,-0.0013,0.1372,0.1483,0.0314,0.0293,-0.0566,-0.1268,0.0302,0.0211,0.1523,0.1693,0.1163,0.1450,0.0380,0.0499,0.1681,-0.0678,0.0272
94585,Suisun City,130526,132708,139925,153890,178799,219411,248000,289111,337613,415456,443688,403072,286302,210729,220526,198051,194173,242539,295676,307292,347355,374435,406756,415435,423882,0.0167,0.0544,0.0998,0.1619,0.2271,0.1303,0.1658,0.1678,0.2306,0.0680,-0.0915,-0.2897,-0.2640,0.0465,-0.1019,-0.0196,0.2491,0.2191,0.0393,0.1304,0.0780,0.0863,0.0213,0.0203
94518,Concord,151020,160451,178148,196790,226941,264789,297412,337671,428630,499057,515238,459960,384397,350828,360466,339279,358149,442795,474929,551321,589024,629693,676256,677285,709781,0.0624,0.1103,0.1046,0.1532,0.1668,0.1232,0.1354,0.2694,0.1643,0.0324,-0.1073,-0.1643,-0.0873,0.0275,-0.0588,0.0556,0.2363,0.0726,0.1608,0.0684,0.0690,0.0739,0.0015,0.0480
94595,Walnut Creek,375801,390835,356213,389942,451077,494175,522302,574424,702254,788482,871309,777567,676486,580030,612379,584952,648923,820646,775056,829019,904732,958886,1035539,1056253,1089551,0.0400,-0.0886,0.0947,0.1568,0.0955,0.0569,0.0998,0.2225,0.1228,0.1050,-0.1076,-0.1300,-0.1426,0.0558,-0.0448,0.1094,0.2646,-0.0556,0.0696,0.0913,0.0599,0.0799,0.0200,0.0315
94619,Oakland,187026,195541,213036,233129,270723,330859,360815,385539,455541,540750,548686,518991,457850,410858,436235,396030,384896,503481,543804,617842,688848,724498,800223,801742,840373,0.0455,0.0895,0.0943,0.1613,0.2221,0.0905,0.0685,0.1816,0.1871,0.0147,-0.0541,-0.1178,-0.1026,0.0618,-0.0922,-0.0281,0.3081,0.0801,0.1361,0.1149,0.0518,0.1045,0.0019,0.0482
94801,Richmond,130375,138256,148336,164625,174007,231420,252878,281229,332898,405823,435549,371182,323272,280037,280851,248459,251558,244057,280213,339180,405641,470280,527771,552465,578954,0.0604,0.0729,0.1098,0.0570,0.3299,0.0927,0.1121,0.1837,0.2191,0.0732,-0.1478,-0.1291,-0.1337,0.0029,-0.1153,0.0125,-0.0298,0.1481,0.2104,0.1959,0.1594,0.1222,0.0468,0.0479
94612,Oakland,149702,159862,175256,185325,237266,291035,326571,368552,410042,500842,509543,485298,428363,342291,334384,308010,320385,442391,474523,552330,659739,695943,746226,737007,757933,0.0679,0.0963,0.0575,0.2803,0.2266,0.1221,0.1286,0.1126,0.2214,0.0174,-0.0476,-0.1173,-0.2009,-0.0231,-0.0789,0.0402,0.3808,0.0726,0.1640,0.1945,0.0549,0.0723,-0.0124,0.0284
94589,Vallejo,106758,109293,112811,122393,145391,182054,208955,242264,286884,352509,380117,349102,249409,177376,181821,163120,157239,207797,254966,284421,322137,353366,402164,410406,419325,0.0237,0.0322,0.0849,0.1879,0.2522,0.1478,0.1594,0.1842,0.2288,0.0783,-0.0816,-0.2856,-0.2888,0.0251,-0.1029,-0.0361,0.3215,0.2270,0.1155,0.1326,0.0969,0.1381,0.0205,0.0217
94580,San Lorenzo,154517,160712,177410,190453,236037,282607,307564,336878,395834,484547,508455,480937,375513,327767,337360,300768,296825,400919,447381,494422,553158,601278,681825,653524,697733,0.0401,0.1039,0.0735,0.2393,0.1973,0.0883,0.0953,0.1750,0.2241,0.0493,-0.0541,-0.2192,-0.1271,0.0293,-0.1085,-0.0131,0.3507,0.1159,0.1051,0.1188,0.0870,0.1340,-0.0415,0.0676
94704,Berkeley,230178,250567,283512,310956,360493,418873,435475,466235,542759,625390,652613,601626,592463,593374,581554,530277,547464,673294,717003,831755,950280,1040888,1177347,1186720,1218640,0.0886,0.1315,0.0968,0.1593,0.1619,0.0396,0.0706,0.1641,0.1522,0.0435,-0.0781,-0.0152,0.0015,-0.0199,-0.0882,0.0324,0.2298,0.0649,0.1600,0.1425,0.0953,0.1311,0.0080,0.0269
94947,Novato,277646,295181,321437,361590,435757,509143,538774,585684,677823,781413,796251,763415,676449,533808,558114,483844,482685,562035,625714,699963,722924,759499,807409,795246,825045,0.0632,0.0889,0.1249,0.2051,0.1684,0.0582,0.0871,0.1573,0.1528,0.0190,-0.0412,-0.1139,-0.2109,0.0455,-0.1331,-0.0024,0.1644,0.1133,0.1187,0.0328,0.0506,0.0631,-0.0151,0.0375
94803,El Sobrante,161860,173419,184700,198921,230395,263630,303840,336937,385280,445731,454711,401363,343121,288286,300819,272538,284025,316692,295242,363983,406226,474859,559960,583495,595317,0.0714,0.0651,0.0770,0.1582,0.1443,0.1525,0.1089,0.1435,0.1569,0.0201,-0.1173,-0.1451,-0.1598,0.0435,-0.0940,0.0421,0.1150,-0.0677,0.2328,0.1161,0.1690,0.1792,0.0420,0.0203
94030,Millbrae,385675,426762,484072,539587,646320,712832,740738,766789,893826,1017462,1051373,1069246,987235,882118,909571,836763,901210,1064665,1224673,1400635,1469059,1564493,1828949,1725176,1707039,0.1065,0.1343,0.1147,0.1978,0.1029,0.0391,0.0352,0.1657,0.1383,0.0333,0.0170,-0.0767,-0.1065,0.0311,-0.0800,0.0770,0.1814,0.1503,0.1437,0.0489,0.0650,0.1690,-0.0567,-0.0105
94085,Sunnyvale,228523,252908,283429,318198,387715,459488,462987,460754,528360,637424,667211,674333,556144,497965,508983,470711,515334,658697,730532,833954,914656,1016276,1331910,1150973,1262517,0.1067,0.1207,0.1227,0.2185,0.1851,0.0076,-0.0048,0.1467,0.2064,0.0467,0.0107,-0.1753,-0.1046,0.0221,-0.0752,0.0948,0.2782,0.1091,0.1416,0.0968,0.1111,0.3106,-0.1358,0.0969
94703,Berkeley,237282,257420,289957,323410,404837,458808,479198,522524,605751,719818,727931,687745,635675,593790,623611,558330,566623,725285,781269,899854,1000818,1073666,1205737,1203431,1252423,0.0849,0.1264,0.1154,0.2518,0.1333,0.0444,0.0904,0.1593,0.1883,0.0113,-0.0552,-0.0757,-0.0659,0.0502,-0.1047,0.0149,0.2800,0.0772,0.1518,0.1122,0.0728,0.1230,-0.0019,0.0407
94089,Sunnyvale,231620,259648,287669,325973,402072,482686,477026,478865,546683,659611,689819,686089,555481,538456,535864,498222,544551,682226,748536,827934,916207,986112,1303129,1088810,1208088,0.1210,0.1079,0.1332,0.2335,0.2005,-0.0117,0.0039,0.1416,0.2066,0.0458,-0.0054,-0.1904,-0.0306,-0.0048,-0.0702,0.0930,0.2528,0.0972,0.1061,0.1066,0.0763,0.3215,-0.1645,0.1095
94506,Danville,601059,639688,702607,782542,908015,1034135,1148283,1264496,1549231,1863191,1851849,1692210,1553566,1294055,1336803,1286701,1409687,1576866,1719953,1858366,1837139,1929666,2093142,2063071,2113028,0.0643,0.0984,0.1138,0.1603,0.1389,0.1104,0.1012,0.2252,0.2027,-0.0061,-0.0862,-0.0819,-0.1670,0.0330,-0.0375,0.0956,0.1186,0.0907,0.0805,-0.0114,0.0504,0.0847,-0.0144,0.0242
94706,Albany,202836,219691,235621,257085,326679,377319,397871,452575,518446,614592,611912,584947,552804,552059,562430,517078,528044,680149,723532,835134,890593,980348,1070594,1033530,1101016,0.0831,0.0725,0.0911,0.2707,0.1550,0.0545,0.1375,0.1455,0.1855,-0.0044,-0.0441,-0.0550,-0.0013,0.0188,-0.0806,0.0212,0.2881,0.0638,0.1542,0.0664,0.1008,0.0921,-0.0346,0.0653
94024,Los Altos,613645,686045,764662,834786,1068355,1279189,1228986,1225536,1351543,1557457,1545927,1560281,1448605,1462305,1523739,1424697,1566571,1812712,1991055,2320003,2416329,2615630,3198428,2909165,3204176,0.1180,0.1146,0.0917,0.2798,0.1973,-0.0392,-0.0028,0.1028,0.1524,-0.0074,0.0093,-0.0716,0.0095,0.0420,-0.0650,0.0996,0.1571,0.0984,0.1652,0.0415,0.0825,0.2228,-0.0904,0.1014
94105,San Francisco,369208,399911,479371,531407,659840,753901,684051,724837,826009,967397,1009395,1036746,975882,852609,835971,808037,907834,1083013,1136786,1277422,1248111,1232443,1292839,1273501,1258522,0.0832,0.1987,0.1086,0.2417,0.1426,-0.0927,0.0596,0.1396,0.1712,0.0434,0.0271,-0.0587,-0.1263,-0.0195,-0.0334,0.1235,0.1930,0.0497,0.1237,-0.0229,-0.0126,0.0490,-0.0150,-0.0118
94702,Berkeley,167328,185004,210970,238058,281848,317591,342379,374410,443391,523406,525333,503473,464013,459244,479120,443297,464608,584463,638882,736996,826349,931122,1006595,1004608,1062418,0.1056,0.1404,0.1284,0.1839,0.1268,0.0781,0.0936,0.1842,0.1805,0.0037,-0.0416,-0.0784,-0.0103,0.0433,-0.0748,0.0481,0.2580,0.0931,0.1536,0.1212,0.1268,0.0811,-0.0020,0.0575
94301,Palo Alto,593600,706531,784710,843385,1081796,1313149,1278764,1228514,1391774,1649621,1677849,1693286,1575857,1643631,1737420,1616438,1812948,2223728,2639856,2867768,3118641,3268751,3997446,3512282,3737355,0.1902,0.1107,0.0748,0.2827,0.2139,-0.0262,-0.0393,0.1329,0.1853,0.0171,0.0092,-0.0693,0.0430,0.0571,-0.0696,0.1216,0.2266,0.1871,0.0863,0.0875,0.0481,0.2229,-0.1214,0.0641
94127,San Francisco,375891,416897,488329,551339,677566,783107,769513,806537,922485,1085379,1077870,1127376,1078366,957475,942281,885256,939078,1129959,1264942,1439141,1475613,1628364,1834883,1758069,1795445,0.1091,0.1713,0.1290,0.2289,0.1558,-0.0174,0.0481,0.1438,0.1766,-0.0069,0.0459,-0.0435,-0.1121,-0.0159,-0.0605,0.0608,0.2033,0.1195,0.1377,0.0253,0.1035,0.1268,-0.0419,0.0213
95620,Dixon,155000,161424,165674,174537,199993,241444,273957,320965,378284,466925,495525,445587,353555,272628,268361,238893,235158,297233,344636,357344,390514,411271,443484,454880,456202,0.0414,0.0263,0.0535,0.1458,0.2073,0.1347,0.1716,0.1786,0.2343,0.0613,-0.1008,-0.2065,-0.2289,-0.0157,-0.1098,-0.0156,0.2640,0.1595,0.0369,0.0928,0.0532,0.0783,0.0257,0.0029
94022,Los Altos,826244,914645,973126,1120160,1365185,1642383,1652895,1601805,1787711,2060933,2025500,2030888,1830301,1899713,2018728,1892368,2204879,2607903,2713960,2988297,3040054,3246087,3833529,3404572,3738400,0.1070,0.0639,0.1511,0.2187,0.2030,0.0064,-0.0309,0.1161,0.1528,-0.0172,0.0027,-0.0988,0.0379,0.0626,-0.0626,0.1651,0.1828,0.0407,0.1011,0.0173,0.0678,0.1810,-0.1119,0.0981
94618,Oakland,270771,300418,329806,367471,467580,540000,565652,607158,686022,793809,790840,754314,726012,720413,736206,680958,700333,846357,891052,1029327,1165026,1302708,1530828,1592423,1653675,0.1095,0.0978,0.1142,0.2724,0.1549,0.0475,0.0734,0.1299,0.1571,-0.0037,-0.0462,-0.0375,-0.0077,0.0219,-0.0750,0.0285,0.2085,0.0528,0.1552,0.1318,0.1182,0.1751,0.0402,0.0385
94563,Orinda,736154,803753,843500,889054,1042123,1168471,1306859,1453682,1632368,1947619,2027701,1875195,1710334,1490851,1541674,1360306,1472955,1701577,1839337,1956371,1991441,2081295,2202831,2154623,2214684,0.0918,0.0495,0.0540,0.1722,0.1212,0.1184,0.1123,0.1229,0.1931,0.0411,-0.0752,-0.0879,-0.1283,0.0341,-0.1176,0.0828,0.1552,0.0810,0.0636,0.0179,0.0451,0.0584,-0.0219,0.0279
94108,San Francisco,377206,390221,452713,512043,620118,764871,703044,698392,805191,921603,977632,997711,958330,838007,809455,763514,841919,975637,999083,1126271,1147191,1192415,1228556,1185308,1159536,0.0345,0.1601,0.1311,0.2111,0.2334,-0.0808,-0.0066,0.1529,0.1446,0.0608,0.0205,-0.0395,-0.1256,-0.0341,-0.0568,0.1027,0.1588,0.0240,0.1273,0.0186,0.0394,0.0303,-0.0352,-0.0217
94564,Pinole,139974,147652,155006,168757,198411,227654,263419,299146,363234,431495,453307,406660,365134,320640,346903,301946,308057,381853,408788,465658,485361,519705,571318,573885,584560,0.0549,0.0498,0.0887,0.1757,0.1474,0.1571,0.1356,0.2142,0.1879,0.0505,-0.1029,-0.1021,-0.1219,0.0819,-0.1296,0.0202,0.2396,0.0705,0.1391,0.0423,0.0708,0.0993,0.0045,0.0186
94949,Novato,302440,313652,341120,375258,454863,527186,553241,586448,664852,766780,800458,778459,711892,596733,611140,543421,575418,654829,725392,806993,833430,873954,952784,952154,969193,0.0371,0.0876,0.1001,0.2121,0.1590,0.0494,0.0600,0.1337,0.1533,0.0439,-0.0275,-0.0855,-0.1618,0.0241,-0.1108,0.0589,0.1380,0.1078,0.1125,0.0328,0.0486,0.0902,-0.0007,0.0179
94579,San Leandro,178952,185653,205430,220724,271520,327649,354343,380815,446605,536765,562220,525770,414897,365496,373902,335217,333752,434374,476442,528515,584166,626584,702845,683781,733651,0.0374,0.1065,0.0744,0.2301,0.2067,0.0815,0.0747,0.1728,0.2019,0.0474,-0.0648,-0.2109,-0.1191,0.0230,-0.1035,-0.0044,0.3015,0.0968,0.1093,0.1053,0.0726,0.1217,-0.0271,0.0729
94945,Novato,271751,290726,319767,354494,428335,494828,521521,565462,652909,754828,764723,753764,680382,560212,578684,501053,531513,612382,674934,745375,775146,807391,861707,855607,873111,0.0698,0.0999,0.1086,0.2083,0.1552,0.0539,0.0843,0.1546,0.1561,0.0131,-0.0143,-0.0974,-0.1766,0.0330,-0.1342,0.0608,0.1521,0.1021,0.1044,0.0399,0.0416,0.0673,-0.0071,0.0205
